city,cluster,u,v,freq
sano,40,4538.0,82.0,1.0
sano,41,1803.0,4643.0,1.0
sano,41,4642.0,4643.0,1.0
sano,42,1708.0,4639.0,1.0
sano,42,1708.0,5959.0,1.0
sano,42,1710.0,4639.0,1.0
sano,43,1679.0,6241.0,1.0
sano,43,1679.0,1680.0,1.0
sano,45,1427.0,5207.0,1.0
sano,45,1427.0,5231.0,1.0
sano,45,1406.0,1427.0,0.6666666666666666
sano,45,1425.0,5231.0,1.0
sano,45,1406.0,5214.0,1.0
sano,45,5214.0,5231.0,0.3333333333333333
sano,47,1738.0,1744.0,1.0
sano,47,1744.0,1750.0,1.0
sano,47,1744.0,1747.0,1.0
sano,48,1771.0,4832.0,1.0
sano,48,4832.0,4833.0,1.0
sano,49,1497.0,3598.0,1.0
sano,49,214.0,3598.0,1.0
sano,50,3727.0,4830.0,1.0
sano,50,3727.0,84.0,1.0
sano,52,1752.0,1761.0,1.0
sano,52,1739.0,1752.0,1.0
sano,53,1798.0,1804.0,1.0
sano,54,1582.0,4536.0,1.0
sano,55,5191.0,5197.0,1.0
sano,56,1753.0,1763.0,1.0
sano,56,1753.0,6147.0,1.0
sano,56,6146.0,6147.0,1.0
sano,56,6146.0,6148.0,1.0
sano,57,1877.0,4563.0,1.0
sano,57,1875.0,4563.0,1.0
sano,58,1467.0,6010.0,1.0
sano,59,1720.0,1725.0,1.0
sano,59,1720.0,4809.0,1.0
sano,61,1714.0,4808.0,1.0
sano,61,1733.0,4808.0,1.0
sano,62,1902.0,4571.0,1.0
sano,62,4571.0,4572.0,1.0
sano,63,1844.0,1851.0,1.0
sano,63,1851.0,1853.0,1.0
sano,64,4994.0,4997.0,1.0
sano,65,1677.0,6234.0,1.0
sano,65,6231.0,6234.0,1.0
sano,65,6231.0,6235.0,1.0
sano,65,6231.0,6232.0,1.0
sano,65,6228.0,6229.0,1.0
sano,65,1692.0,6229.0,1.0
sano,65,1692.0,6230.0,1.0
sano,65,6230.0,6235.0,1.0
sano,66,4659.0,6222.0,1.0
sano,68,1527.0,5196.0,1.0
sano,68,1527.0,5193.0,1.0
sano,68,5187.0,5193.0,1.0
sano,69,6220.0,6221.0,1.0
sano,69,6221.0,6222.0,1.0
sano,69,4659.0,6222.0,1.0
sano,69,4659.0,6224.0,1.0
sano,70,4846.0,4848.0,1.0
sano,70,4848.0,4850.0,1.0
sano,70,4845.0,4850.0,1.0
sano,72,1673.0,5222.0,1.0
sano,73,207.0,4023.0,1.0
sano,74,1790.0,3730.0,1.0
sano,75,6215.0,6218.0,1.0
