city,cluster,pv_kwp,pen,gen_kwh_y,eloss_delta_kwh,capex_dg,npc_s2,npc_s3,delta_npc_s3
sano,35,383.58597343016874,0.9322927639974884,436827.7065422762,569.499512724662,95896493.35754219,29527490.48755504,-94085049.50152725,124161032.21296223
sano,36,378.1370266199604,0.835563163935878,430622.44591481093,973.7468816653245,94534256.6549901,55207846.94666596,-66887019.139030516,125866395.39176452
sano,37,159.4824628124718,0.9529401805516013,181618.62865084287,109.5534144967612,39870615.70311795,34761359.71428052,-16559158.96905467,51320518.6833352
sano,38,387.8169259121176,0.8836462845186799,441645.91522871953,1477.4640509572946,96954231.4780294,76231686.83285014,-49265354.113122344,130094404.2098663
sano,39,322.1376077576441,0.9959579400744815,366850.3077144051,758.7856873578385,80534401.93941103,33337127.79131761,-70635464.45630544,104403145.67095765
sano,40,305.29504058423726,0.8229497124180275,347669.9922173294,2591.2453918891515,76323760.14605932,147255554.162825,47637193.02022645,109832809.92175394
sano,41,167.94013952232118,1.0230020211172983,191250.23088801935,1868.0406412630564,41985034.88058029,71395620.67732175,16340652.910501644,57881686.55766541
sano,42,336.1664391168175,0.8682092257859468,382826.3408662318,1456.1943678312673,84041609.77920438,75626852.06535193,-33257577.84970346,114731718.91616173
sano,43,379.52475130414854,0.90259340684029,432202.7867851644,1204.1633934144083,94881187.82603714,93124915.32450628,-29549112.16619852,125775764.38237646
sano,44,81.51241343098627,0.9,92826.33641520717,32.861381756109154,20378103.357746568,20018139.11147901,-6198708.914671063,26216848.026150074
sano,45,440.2913610002277,0.8587919116404928,501403.8019070593,1920.403321193402,110072840.25005692,124500959.3536282,-18117177.17605871,152165920.63012946
sano,46,285.1538973488044,0.8458350034351498,324733.25830081844,1472.798030888096,71288474.33720109,69045085.62411541,-23453652.826094836,95402950.04036044
sano,47,209.46382723642233,0.8999999999999999,238537.40645683775,996.9226436373929,52365956.80910558,67018901.177060574,-878269.6798296571,69581743.18279411
sano,48,268.8383343771002,0.8999999999999998,306153.0951886417,1360.7548101866596,67209583.59427504,118709292.29182428,31519075.834213823,88818332.61822426
sano,49,328.324097661631,0.911496877902064,373895.4824170654,1790.4274668547969,82081024.41540775,90892538.87572794,-15664527.789520115,112535766.96144865
sano,50,386.0765593424073,0.9793631158380741,439663.9857791334,4170.592151270226,96519139.83560182,162549029.7496794,36055061.63374254,154666174.1759771
sano,51,124.56424049744862,0.785176358710521,141853.7570784945,173.84613744047874,31141060.124362156,58981108.05425903,18846054.17628129,40135053.877977744
sano,52,280.6070329013067,0.8992569378709249,319555.2890680081,556.0588497791796,70151758.22532667,31793108.039610885,-58714525.64742899,91003528.89606597
sano,53,475.9158903989234,0.8012966911530414,541973.015986294,2863.193362212158,118978972.59973085,138598236.79443344,-16014331.844856739,184163976.39087448
sano,54,204.21400918064006,0.73849157452459,232558.9136549129,234.0720918759016,51053502.29516002,46278351.52314096,-19490714.789433092,65769066.31257405
sano,55,94.87194918223491,0.8999999999999999,108040.17572872913,17.99817995173518,23717987.29555873,16376551.261779385,-14125424.668509945,30501975.93028932
sano,56,325.88801871341866,0.8849789901139438,371121.2757108412,683.329143034347,81472004.67835467,24506058.88254951,-80628300.78670266,106430842.15687098
sano,57,231.6254108456319,0.9430285601693605,263775.01787100564,266.4344507235735,57906352.711407974,29273405.01558537,-45324309.24515095,74597714.26073632
sano,58,180.9771924352994,0.8999999999999999,206096.82674531895,2615.3916042711717,45244298.10882485,108987805.15386978,49310894.38693321,95361253.55207124
sano,59,538.6291682758902,0.8967528359542725,613390.8968325837,6479.156774714276,134657292.06897253,160168954.7835593,-16689037.704187214,244824576.1073997
sano,60,506.3980603367475,0.8751876067081891,576686.1111114881,3112.75214332241,126599515.08418688,82325560.77141747,-82228103.1721304,192224620.22605765
sano,61,293.979410675567,0.8366344934750553,334783.7528773357,7159.560985632372,73494852.66889176,200200305.06905743,101578865.94756389,178444593.80576056
sano,62,372.48623213024445,0.8832375851004536,424187.3211499224,2066.701142436543,93121558.03256111,158303737.51644793,37393436.03668663,127285854.32425073
sano,63,264.05319051563436,0.9073803674368899,300703.7733592044,808.9820070756969,66013297.62890859,53641680.903226405,-31691751.328656673,85726417.95466134
sano,64,356.3242278242984,0.9367143256894288,405782.030646311,944.0497025635368,89081056.95607461,162532751.4409104,47465618.09772447,116098522.20476466
sano,65,321.7508235514508,0.8564233091421348,366409.83786039223,1000.8529256278935,80437705.88786271,57422044.92698626,-46566119.19937074,106535318.42470536
sano,66,744.6538436128737,0.8596443724470278,848011.7971063406,7739.787395839216,186163460.90321845,172740154.74143285,-71062063.68308735,337991391.52696216
sano,67,442.18088957194516,0.931612396812319,503555.59704453114,1648.6257694838696,110545222.39298628,80217195.04761538,-62851178.70142454,148774374.57815444
sano,69,264.60642538538946,0.9398805570649823,301333.7972288815,4651.892029397597,66151606.34634736,180087504.45763686,92355564.38594583,114424035.65898585
sano,70,211.40428876358803,1.0851159328256887,240747.20404397405,181.71803290198795,52851072.19089701,39575293.768991016,-28474454.200796872,68049747.96978788
sano,71,80.05030988605091,0.7861875399559209,91161.29289823478,249.3935044014761,20012577.471512727,70237501.02475353,44365441.66425286,25872059.36050068
sano,72,91.46715265333324,0.8187774968621826,104162.79344161591,30.09101241364334,22866788.16333331,23091309.831186432,-6323362.230054572,29414672.061241005
sano,73,190.33429661266672,0.8634006147221489,216752.69698250486,433.4062054246715,47583574.15316668,31165297.91524391,-30258057.216453075,61423355.131696984
sano,74,115.65781560208373,1.2067325084027734,131711.12040765295,246.98092040696156,28914453.900520932,69685939.32584703,32371122.797723338,41242439.564447775
sano,75,85.45132879765822,0.6697823521332745,97311.97323477318,60.175577080026414,21362832.199414555,14725966.82825996,-12772621.457747035,27498588.286006995
sano,76,414.23357460758547,0.8846716001334288,471729.19476311834,4195.588638952158,103558393.65189637,121945741.61411548,-13612256.035118937,172380544.18212757
sano,77,364.04355183428095,0.9285845294687785,414572.79682887916,907.7440581979599,91010887.95857024,64508506.051825285,-53018616.212737024,119265467.70035952
sano,78,610.5489240268399,0.8999999999999999,695293.1146817653,989.7077336035827,152637231.00671,40139889.93871366,-156660723.95436388,198378703.86520547
sano,79,334.3220991688177,0.8821166264530319,380726.00653344963,647.137850373515,83580524.79220442,45154164.6455422,-62669970.71936321,108386921.9126543
sano,80,512.5067580882617,0.885968937775599,583642.6961109125,28.64824716466785,128126689.52206542,22671017.9035548,-142063755.21057937,164734773.11413416
sano,81,366.32495458934426,0.8999999999999999,417170.85828634526,1543.3236733208523,91581238.64733607,80744930.36772226,-37882710.21731496,120263693.41382547
