node,lat,lon,x_m,y_m,p_kw
92,36.33333679999999,139.5826575,372794.1333886514,4021853.7079452868,25.14898424590799
6236,36.324140799999995,139.5848323,372974.4028881497,4020830.7280931063,46.019919515361416
6230,36.32459149999999,139.5851714,373005.5738643939,4020880.2792224456,15.961181508134462
6234,36.324163399999996,139.5844482,372939.9606193994,4020833.739753737,30.21285759740553
6240,36.3237386,139.587282,373193.6498623978,4020782.896583483,48.65702849099442
6241,36.3247474,139.58849540000003,373304.20533104846,4020893.2130651404,130.8141606638303
6237,36.3252456,139.5856214,373047.02939427143,4020952.248182759,56.56115778654327
6243,36.32234039999999,139.5918057,373597.46583598154,4020621.870749572,36.556024713738495
6235,36.3246159,139.5849126,372982.38227030606,4020883.3258467005,35.50862973723848
6245,36.32247350000001,139.5860271,373078.9505744979,4020644.20436146,66.26614121593309
6238,36.3246607,139.5854901,373034.29427640873,4020887.5371346935,36.24356653170006
6247,36.3214383,139.5819276,372709.26479585026,4020534.7570535424,166.075148056672
6248,36.31788529999999,139.587095,373167.3777307246,4020133.830991158,44.52626331962693
6249,36.317021200000006,139.5873905,373192.5056184416,4020037.5883220574,28.243414361269735
6242,36.3242182,139.5886079,373313.44709713967,4020834.3611089485,123.93820259836183
6244,36.3222254,139.591128,373536.44450014934,4020609.9997559423,44.583363606351696
6246,36.32296,139.5858939,373067.7826746901,4020698.3470142335,148.27126437690382
6272,36.33328730000001,139.5713912,371782.8440285587,4021863.099515583,22.384015704523787
6273,36.3329746,139.5712526,371769.89135092846,4021828.5951615595,33.672646984198096
175,36.31590649999999,139.5763528,372199.7892955737,4019928.4621432386,57.10098408132481
176,36.31590179999999,139.5777526,372325.4488651088,4019926.0920373816,63.64958571697977
177,36.31601980000001,139.5817381,372683.4395014785,4019933.9281355,170.69596111270428
178,36.3160585,139.5735228,371945.9742603251,4019949.0668012844,113.81245145782138
179,36.31610299999999,139.5709991,371719.4819776722,4019957.3475400214,227.33865352481195
180,36.3164185,139.5848582,372964.19335840945,4019974.0535390833,202.1018906648377
205,36.3166325,139.5763756,372203.0215306524,4020008.9677791586,126.92909799246311
206,36.3174488,139.5764206,372208.39415433566,4020099.461143973,161.16008091366186
207,36.31750009999999,139.5751664,372095.884212272,4020106.8098265487,71.3162984084767
208,36.3175883,139.5736022,371955.6050474987,4020118.663697454,164.86574849600592
