node,lat,lon,x_m,y_m,p_kw,cluster
564,34.0273354,131.8849184,766372.9860982986,3768941.444751945,0.0,
566,34.021483100000005,131.8832254,766234.9121913633,3768287.832934829,0.0,
574,34.032000200000006,131.8748757,765430.8779178734,3769432.804362814,30.74641087053976,16.0
593,34.034526099999994,131.8782187,765731.7427929621,3769721.688172212,0.0,
597,34.0291647,131.8866378,766526.0677928042,3769148.851506664,0.0,
604,34.02635409999999,131.884604,766347.0167910431,3768831.768896271,0.0,
611,34.0222707,131.8846227,766361.5156704547,3768378.840356472,10.78338091129132,9.0
612,34.02252729999999,131.8828816,766199.8920796777,3768402.7725779735,0.0,
2660,34.0154841,131.8591237,764027.2742106586,3767559.890707238,6.32412653116358,44.0
2661,34.0180202,131.8605975,764155.5512516809,3767845.0259524,14.68217452596834,37.0
620,34.0340099,131.8841789,766283.8080596481,3769679.9309105775,0.0,
632,34.035455400000004,131.8867361,766515.4527993824,3769846.9449704383,17.23872541614733,46.0
633,34.0358713,131.879808,765874.3199634529,3769875.044491599,76.15326001081259,46.0
650,34.0351679,131.8783253,765739.5842429915,3769793.160921664,0.0,
653,34.0324573,131.8749953,765440.4986231063,3769483.821441959,0.0,
662,34.035505599999986,131.87836510000002,765742.2056845429,3769830.7258638106,4.008300642374289,46.0
671,34.0323984,131.8798056,765884.9451141407,3769489.784776528,0.0,
2724,34.0187781,131.8824224,766169.1932595293,3767985.674075351,0.0,
680,34.03463450000001,131.8766046,765582.3355856059,3769729.5195378456,0.0,
2728,34.0159712,131.8862966,766535.8419935049,3767684.388505718,0.0,
682,34.02323169999999,131.8834713,766252.158992156,3768482.4475194295,4.710081241987958,32.0
2729,34.0161018,131.8846048,766379.1541178715,3767694.469517107,0.0,
2732,34.0334596,131.8864683,766496.9684536186,3769624.8496864354,0.0,
2734,34.0353873,131.8877457,766608.9062367883,3769842.0225769775,0.0,
693,34.01890579999999,131.8867617,766569.6217162733,3768011.1396178943,0.0,
696,34.032913400000005,131.8695639,764937.4549097093,3769520.3314175145,8.211343677201706,2.0
2749,34.0339292,131.8816993,766055.0568286353,3769664.524155126,998.3805424064366,46.0
2750,34.0334852,131.8833207,766206.1897501937,3769619.490577374,0.0,
2751,34.0336435,131.8859453,766448.0908384274,3769643.887054948,0.0,
709,34.030856500000006,131.8747413,765422.0306789719,3769305.583580589,144.59566044506914,16.0
711,34.03466389999999,131.8798981,765886.4122237826,3769741.340252568,6.428970776182178,46.0
2761,34.0324244,131.87498,765439.1881479339,3769480.1320911287,0.0,
714,34.030867,131.8758569,765525.0327298958,3769309.644506063,0.0,
720,34.0211359,131.8826105,766179.19982719,3768247.717257485,18.451971220494077,9.0
728,34.0205083,131.8825739,766177.7804965561,3768178.0015495694,12.960911141500477,9.0
2778,34.0285988,131.8684714,764849.9775365655,3769038.878962101,41.76650075915266,17.0
731,34.0358518,131.8755431,765480.5052809089,3769861.7995016337,0.0,
734,34.0347069,131.8837843,766245.1848202875,3769756.222616208,0.0,
2784,34.024866,131.86679,764706.2862127394,3768620.4433979,0.0,
2785,34.024462099999994,131.8663486,764666.7718185612,3768574.4961672346,0.0,
741,34.0357071,131.8841103,766272.1636496012,3769868.025230433,54.848597711426265,46.0
2792,34.034864199999994,131.8717051,765129.1315261077,3769742.2854767055,0.0,
2793,34.0354445,131.8746947,765403.4230983764,3769814.414730468,43.64179018984418,16.0
2794,34.03523950000001,131.8746264,765397.7545114686,3769791.4965579626,0.0,
2795,34.03450259999999,131.8744091,765379.9833733204,3769709.1873847353,13.377793540476112,16.0
750,34.0348084,131.8838202,766248.1828783713,3769767.575643121,0.0,
2801,34.02124289999999,131.8736547,765351.6295643162,3768236.3174173073,0.0,
2802,34.02715950000001,131.868163,764825.9699496937,3768878.417562517,2.86333959244459,17.0
2803,34.0230536,131.8757247,765537.1871067192,3768442.5521883783,47.32142011461464,33.0
2804,34.02212430000001,131.8741415,765393.8480671097,3768335.354942072,0.0,
757,34.0301533,131.8744276,765395.2498845184,3769226.762653736,0.0,
2806,34.022335,131.8731552,765302.0895239371,3768356.16940054,83.76561092803526,33.0
2805,34.02345979999999,131.8737231,765351.040380118,3768482.4177197055,0.0,
2808,34.020885,131.8710063,765108.114706367,3768189.74794662,0.0,
2807,34.019984300000004,131.874463,765430.2133629611,3768098.796892279,0.0,
2809,34.02382159999999,131.872158,765205.3514197287,3768518.493222141,0.0,
2810,34.025341100000006,131.8711415,765106.7313409357,3768684.41746517,0.0,
2812,34.0249548,131.8700116,765003.5713319797,3768638.636657125,0.0,
2813,34.02453249999999,131.8693659,764945.2454569854,3768590.117715869,0.0,
2814,34.0246964,131.8682165,764838.5715652325,3768605.322414994,0.0,
767,34.0177176,131.8848269,766394.6173601602,3767874.290663648,0.0,
2816,34.0249104,131.8671715,764741.3852207401,3768626.356158949,0.0,
2815,34.0258257,131.8674058,764760.1804646025,3768728.497601352,0.0,
2818,34.0259246,131.8684472,764856.0601433276,3768742.165039867,0.0,
2819,34.027789,131.8680477,764813.3629019647,3768947.949960688,0.0,
2820,34.02729560000001,131.8686149,764867.284992886,3768894.6855156817,42.60945538508124,17.0
2821,34.028145499999994,131.8692082,764919.4390580767,3768990.502390709,0.0,
2817,34.0265476,131.8705226,765045.8119843756,3768816.651527017,0.0,
2822,34.0278497,131.8696703,764963.0395136417,3768958.886168016,0.0,
2823,34.0281726,131.8708719,765073.0156534435,3768997.819574964,0.0,
2825,34.02821199999999,131.8706413,765051.5945684244,3769001.5925764255,0.0,
2826,34.02778270000001,131.8705476,765044.2766341023,3768953.727088706,0.0,
2824,34.02812639999999,131.8703603,765025.9075811929,3768991.3686484927,0.0,
2828,34.0303454,131.8700244,764987.9774683473,3769236.653941892,63.64904622486635,12.0
2829,34.0309106,131.8722171,765188.7317659236,3769305.0361697176,0.0,
782,34.03446240000001,131.8868062,766525.0358135286,3769736.972600057,109.332188404773,46.0
2831,34.0178562,131.8679973,764839.5940735438,3767845.966379756,0.0,
2830,34.0210673,131.8798821,765927.3946012594,3768233.010610594,169.01434825231706,8.0
2827,34.02785519999999,131.8709289,765079.2683335056,3768962.757836728,0.0,
2834,34.0191165,131.8684995,764882.0641796049,3767987.072659393,9.167316284500222,18.0
2832,34.0182117,131.8680274,764841.2691674305,3767885.4801713102,0.0,
2836,34.0190412,131.8694104,764966.4389447934,3767981.0786893214,0.0,
2833,34.019594500000004,131.8690158,764928.2684571918,3768041.434619037,0.0,
2835,34.0192904,131.8691097,764937.8879110427,3768007.943775726,0.0,
2839,34.019010900000005,131.868871,764916.7083470572,3767976.320420464,0.0,
792,34.02331780000001,131.8833913,766244.5004807331,3768491.790456837,0.0,
2841,34.0200581,131.8677426,764809.2213583211,3768089.565310859,29.345831155106364,18.0
2840,34.0196678,131.8686229,764891.7482327521,3768048.5483222287,0.0,
2843,34.01947109999999,131.87031670000002,765048.8169243067,3768031.11578556,0.0,
2844,34.01925819999999,131.8706916,765084.1091752157,3768008.470089632,8.220638224896941,18.0
797,34.0174804,131.8767465,765648.9492001026,3767826.964488534,24.442710736520677,20.0
798,34.019898500000004,131.8733389,765326.6475566871,3768086.362674014,0.0,
2847,34.015306499999994,131.8799505,765951.6986181233,3767594.13634931,0.0,
2842,34.01965450000001,131.8727931,765276.9919245954,3768057.8799354895,0.0,
2849,34.0144222,131.8795214,765914.8206576379,3767494.9245564262,0.0,
802,34.016296600000004,131.8674854,764797.1568053345,3767671.6337422696,8.425153440870368,23.0
2851,34.0169733,131.8797876,765931.447294428,3767778.612834916,0.0,
2848,34.015277000000005,131.8791231,765875.3594272075,3767588.713211725,0.0,
805,34.0130989,131.8681799,764871.2522327689,3767318.7086643055,187.1653863231047,48.0
806,34.0149101,131.8645659,764531.7770429393,3767510.275451996,17.889487748398892,11.0
2855,34.0177069,131.8797037,765921.40701561,3767859.773798466,0.0,
2853,34.0173624,131.8790875,765865.5622460719,3767819.956364057,0.0,
2857,34.0185999,131.8808511,766024.6064441672,3767961.81865368,0.0,
2858,34.01802490000001,131.8812668,766064.8014105697,3767899.114378432,0.0,
2859,34.016971100000006,131.8814224,766082.4662742235,3767782.61982268,0.0,
2860,34.0169016,131.8834327,766268.3819714377,3767780.140881144,0.0,
811,34.0179824,131.8734602,765343.8209600685,3767874.1226017103,0.0,
2861,34.02282629999999,131.884051,766306.9716690502,3768438.985155528,0.0,
814,34.0134592,131.8688244,764929.6689903866,3767360.345750597,13.12349317892407,48.0
815,34.0178444,131.8680322,764842.8545478759,3767844.7477528434,0.0,
817,34.01556639999998,131.8852385,766439.3664183985,3767636.727190993,0.0,
2864,34.015797199999994,131.87740310000004,765714.851472511,3767641.950689173,11.04851262554832,20.0
2867,34.013918000000004,131.8784284,765815.4266866834,3767436.152675566,0.0,
2865,34.016011799999994,131.8761626,765599.5916865666,3767662.5350973695,0.0,
2863,34.014884,131.8763792,765623.1164849284,3767537.989527047,0.0,
822,34.01632729999999,131.87500080000004,765491.287898265,3767694.518052922,3.770441988403157,20.0
823,34.01457299999999,131.868065,764856.0553106631,3767481.9340607934,30.16555910478811,3.0
824,34.01523259999999,131.8627916,764366.8749828297,3767541.464059025,11.678854197295914,41.0
825,34.015807299999985,131.8741074,765410.381116913,3767634.515757845,0.0,
2866,34.016711,131.8768318,765659.228090289,3767741.835687182,0.0,
829,34.012956800000005,131.8655571,764629.4065865277,3767296.1582410433,0.0,
830,34.01447280000001,131.8665487,764716.297462611,3767466.894301846,8.195287921777222,38.0
2878,34.01714569999999,131.8690177,764936.0603740303,3767769.7923452174,0.0,
2880,34.0161485,131.8697219,765004.2115602831,3767660.996212663,0.0,
2879,34.01670939999999,131.8692585,764959.660841684,3767722.016932598,0.0,
2882,34.01878239999999,131.872258,765230.2801776503,3767959.749542916,0.0,
2877,34.01599619999999,131.868863,764925.3451735929,3767641.876854367,143.98200825740292,6.0
2884,34.0161797,131.862121,764301.9900246029,3767644.793559635,0.0,
837,34.0173938,131.8704685,765069.3029906099,3767801.0725911744,0.0,
838,34.01339910000001,131.8632065,764410.8917755536,3767339.145281037,0.0,
839,34.01737060000001,131.882877,766215.5842296396,3767830.721337755,0.0,
2885,34.0143351,131.861835,764281.2934630727,3767439.432411033,8.893657290684061,41.0
841,34.02232099999999,131.8732052,765306.7515053607,3768354.746058103,0.0,
2890,34.034299299999994,131.8646733,764481.4744225481,3769661.410026697,0.0,
2889,34.01597120000001,131.8660366,764664.336669897,3767631.7877410776,4.650756728868785,11.0
844,34.01937319999999,131.8769075,765657.9178695555,3768037.352846544,0.0,
2893,34.0344193,131.8596697,764018.9995373776,3769661.790962696,0.0,
2894,34.0358729,131.8607721,764116.300415844,3769825.8867556816,5.72773021934974,35.0
2886,34.0139475,131.8622218,764318.2269450463,3767397.43504576,0.0,
2896,34.0360439,131.8615498,764187.59209562,3769846.865039316,0.0,
849,34.02093599999999,131.88516050000004,766415.366121624,3768232.180905997,0.0,
848,34.017547,131.8784521,765806.2924294658,3767838.783030066,0.0,
851,34.013468,131.8785192,765825.2185865415,3767386.469640562,0.0,
852,34.0193836,131.8736034,765352.6835285176,3768029.930451661,4.74833901323543,47.0
859,34.02358650000001,131.8719457,765186.4742456956,3768491.862901344,0.0,
860,34.0142508,131.8641555,764495.9131745811,3767436.0778513104,15.261838914573357,7.0
861,34.02038029999999,131.8746171,765443.2134453687,3768143.1254392914,0.0,
862,34.01703069999999,131.8829949,766227.537326572,3767793.322641578,0.0,
2910,34.0258513,131.8671335,764734.9503206075,3768730.63255512,0.0,
2908,34.02471039999999,131.8688974,764901.419128869,3768608.638785131,0.0,
2913,34.0161251,131.8593859,764049.5079462924,3767631.6737923594,0.0,
2914,34.015553100000005,131.8589791,764013.7030317564,3767567.171719784,0.0,
867,34.01681249999999,131.8816131,766100.577336061,3767765.5221799393,0.0,
2909,34.02592769999999,131.8665275,764678.7406515916,3768737.539217159,147.64220316305,13.0
2917,34.0165088,131.859675,764075.0237422471,3767674.98401093,0.0,
2918,34.016002300000004,131.8592986,764041.8243408023,3767617.826217901,0.0,
