city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,tld
kudamatsu,18,3,140.72564690630105,70.36282345315053,12,12,20998033.560467724,20998033.560467724,11916905.027340883,73.56114214407953,0.133063486565756,0.2670159003917781,20998033.560467724,0.2670159003917781,12,0.133063486565756,20998033.560467727,0.13306348656575598,20998033.560467727,0,11916905.027340882,0.13306348656575598,73.56114214407951,0.2670159003917781,0.0,True,0.0,0.0
kudamatsu,19,3,49.04685276691205,24.523426383456027,12,12,24225136.24914671,24225136.24914671,14486923.153652279,89.42545156575478,0.0009926287505591833,0.030079193678318163,24225136.24914671,0.030079193678318163,12,0.0009926287505591833,24225136.249146715,0.0009926287505591836,24225136.249146715,0,14486923.153652279,0.0009926287505591836,89.4254515657548,0.030079193678318163,0.0,True,0.0,0.0
kudamatsu,20,5,85.39194012644708,42.69597006322354,12,12,39458215.73521596,39458215.73521596,25768904.181457806,159.0673097620852,0.023226146907736372,0.19883909159819665,39458215.73521596,0.19883909159819665,12,0.023226146907736372,39458215.73521596,0.02322614690773637,39458215.73521596,0,25768904.181457803,0.02322614690773637,159.0673097620852,0.19883909159819665,0.0,True,0.0,0.0
kudamatsu,21,2,44.786020141040325,22.393010070520162,12,12,114231063.54095171,114231063.54095171,81276203.44873466,501.7049595600904,0.03449753801942378,0.435121557757091,114231063.54095171,0.435121557757091,12,0.03449753801942378,114231063.54095171,0.034497538019423776,114231063.54095171,0,81276203.44873467,0.034497538019423776,501.7049595600905,0.435121557757091,0.0,True,0.0,0.0
kudamatsu,22,4,91.96468731575769,45.98234365787884,12,12,137411073.65728512,137411073.65728512,98204724.19256093,606.2020011886478,0.2501072504032545,1.0752420625055266,137411073.65728512,1.0752420625055266,12,0.2501072504032545,137411073.6572851,0.25010725040325454,137411073.6572851,0,98204724.19256094,0.25010725040325454,606.2020011886478,1.0752420625055266,0.0,True,0.0,0.0
kudamatsu,23,5,86.5009497305314,43.2504748652657,12,12,95031608.35936682,95031608.35936682,66966002.88988579,413.3703882091716,0.07536156008379903,0.25818640612974036,95031608.35936682,0.25818640612974036,12,0.07536156008379903,95031608.35936682,0.07536156008379903,95031608.35936682,0,66966002.8898858,0.07536156008379903,413.37038820917167,0.25818640612974036,0.0,True,0.0,0.0
kudamatsu,24,4,107.17916613298479,53.589583066492395,12,12,28149390.05353685,28149390.05353685,17329145.952316284,106.9700367426931,0.05549872501881272,0.1458632675826148,28149390.05353685,0.1458632675826148,12,0.05549872501881272,28149390.053536855,0.05549872501881273,28149390.053536855,0,17329145.952316284,0.05549872501881273,106.97003674269311,0.1458632675826148,0.0,True,0.0,0.0
kudamatsu,25,3,158.3911200276614,79.1955600138307,12,12,20768417.965644475,20768417.965644475,11746328.987411352,72.50820362599599,0.13312153046198597,0.21469802962127632,20768417.965644475,0.21469802962127632,12,0.13312153046198597,20768417.965644475,0.13312153046198597,20768417.965644475,0,11746328.987411352,0.13312153046198597,72.508203625996,0.21469802962127632,0.0,True,0.0,0.0
kudamatsu,26,6,155.859535136483,77.9297675682415,12,12,156930779.18899277,156930779.18899277,111655459.72475313,689.2312328688464,1.0432845568877893,1.9292225342071632,156930779.18899277,1.9292225342071632,12,1.0432845568877893,156930779.18899277,1.0432845568877895,156930779.18899277,0,111655459.72475311,1.0432845568877895,689.2312328688464,1.9292225342071632,0.0,True,0.0,0.0
kudamatsu,27,4,87.01230470738362,43.50615235369181,12,12,55164421.96397544,55164421.96397544,37390644.92832946,230.80645017487316,0.05424477645643825,0.2998802418934744,55164421.96397544,0.2998802418934744,12,0.05424477645643825,279403049.0876641,0.12874353659431728,279403049.0876641,0,203799676.71427917,0.12874353659431728,1258.0226957671555,1.006520881767604,0.0,True,0.0,0.0
kudamatsu,28,9,100.97859331773638,50.48929665886819,12,12,210070274.98688802,210070274.98688802,152247220.02771458,939.7976544920652,0.18181645652222592,0.7173411521574912,210070274.98688802,0.7173411521574912,12,0.18181645652222592,207917751.75057954,0.19933938252646666,207917751.75057954,0,150625823.69330803,0.19933938252646666,929.7890351438765,0.7173411521574912,0.0,True,2623162.3085742095,0.0
kudamatsu,29,1,3.157672726685976,1.578836363342988,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
kudamatsu,30,9,239.06652204779056,119.53326102389528,12,12,101288399.30321379,101288399.30321379,71391737.67692097,440.6897387464257,0.2427434464389735,0.513407176769959,101288399.30321379,0.513407176769959,12,0.2427434464389735,95002386.8135612,0.29114456410475836,95002386.8135612,0,66660420.42895594,0.29114456410475836,411.4840767219502,0.513407176769959,0.0,True,6339119.801158037,0.0
kudamatsu,31,6,133.13146198041184,66.56573099020592,12,12,185156979.55984163,185156979.55984163,131451345.26122181,811.4280571680359,1.927526997246557,2.8551286253930535,185156979.55984163,2.8551286253930535,12,1.927526997246557,185028197.85510352,1.9272567271241745,185028197.85510352,0,131356074.74924043,1.9272567271241745,810.8399675879039,2.849854224876414,0.0,True,128781.70473811775,0.0
kudamatsu,32,1,8.80357291041667,4.401786455208335,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
kudamatsu,33,2,38.620149117215696,19.310074558607848,12,12,17313316.68204805,17313316.68204805,9353639.540442403,57.73851568174322,0.0017174776642760205,0.03293598899831744,17313316.68204805,0.03293598899831744,12,0.0017174776642760205,17313316.682048045,0.00171747766427602,17313316.682048045,0,9353639.540442402,0.00171747766427602,57.738515681743216,0.03293598899831744,0.0,True,0.0,0.0
kudamatsu,34,4,32.68481502143353,16.342407510716765,12,12,43891936.862725616,43891936.862725616,29081912.677890893,179.51797949315366,0.007434443134131104,0.07659673954148166,43891936.862725616,0.07659673954148166,12,0.007434443134131104,43891936.862725616,0.007434443134131102,43891936.862725616,0,29081912.67789089,0.007434443134131102,179.51797949315366,0.07659673954148166,0.0,True,0.0,0.0
kudamatsu,35,4,129.12346965535258,64.56173482767628,12,12,57704563.25921313,57704563.25921313,39194168.687539876,241.9393128860487,0.11706238658295963,0.47578128682122045,57704563.25921313,0.47578128682122045,12,0.11706238658295963,57704563.25921314,0.11706238658295963,57704563.25921314,0,39194168.687539876,0.11706238658295963,241.93931288604864,0.47578128682122045,0.0,True,0.0,0.0
kudamatsu,36,4,137.2542032107266,68.6271016053633,12,12,50708538.179564185,50708538.179564185,34023588.575055614,210.02215169787416,0.09860983210860602,0.21761230793252845,50708538.179564185,0.21761230793252845,12,0.09860983210860602,48126157.33636623,0.1025590060681578,48126157.33636623,0,32100861.69476708,0.1025590060681578,198.15346725164864,0.21761230793252845,0.0,True,2582380.843197955,0.0
kudamatsu,37,2,103.08235016399078,51.54117508199539,12,12,84788843.27480175,84788843.27480175,59411909.568655945,366.7401825225675,0.03613215329479324,0.38073124849145196,84788843.27480175,0.38073124849145196,12,0.03613215329479324,84788843.27480175,0.03613215329479324,84788843.27480175,0,59411909.56865594,0.03613215329479324,366.7401825225675,0.38073124849145196,0.0,True,0.0,0.0
kudamatsu,38,2,71.33990300017149,35.669951500085745,12,12,43433889.21667124,43433889.21667124,28714983.402569935,177.25298396648108,0.02781202620499565,0.23485353217784494,43433889.21667124,0.23485353217784494,12,0.02781202620499565,43346171.215558946,0.027749020202127467,43346171.215558946,0,28649931.819729947,0.027749020202127467,176.8514309859873,0.23169703072103862,0.0,True,87718.00111229718,0.0
kudamatsu,39,2,126.59658234780075,63.298291173900374,12,12,16519596.069592843,16519596.069592843,8763881.8168652,54.0980359065753,0.00201031888264162,0.03449177761991392,16519596.069592843,0.03449177761991392,12,0.00201031888264162,16519596.069592847,0.00201031888264162,16519596.069592847,0,8763881.816865198,0.00201031888264162,54.0980359065753,0.03449177761991392,0.0,True,0.0,0.0
kudamatsu,40,2,30.110533383911005,15.055266691955502,12,12,110667262.23771353,110667262.23771353,78647412.1787709,485.477852955376,0.02120480036207587,0.33832672301100386,110667262.23771353,0.33832672301100386,12,0.02120480036207587,110588380.25452334,0.021189013503040345,110588380.25452334,0,78588859.60631682,0.021189013503040345,485.11641732294333,0.33532868629709256,0.0,True,78881.9831902124,0.0
kudamatsu,41,2,68.42445300922866,34.21222650461433,12,12,65880046.1555779,65880046.1555779,45411816.1695249,280.319852898302,0.0053324885327504816,0.127874587540725,65880046.1555779,0.127874587540725,12,0.0053324885327504816,65880046.1555779,0.0053324885327504816,65880046.1555779,0,45411816.1695249,0.0053324885327504816,280.3198528983019,0.127874587540725,0.0,True,0.0,0.0
kudamatsu,42,1,13.625150322863773,6.812575161431886,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
kudamatsu,43,5,118.29201666568099,59.146008332840495,12,12,122214197.83063634,122214197.83063634,87062761.85714255,537.4244559082872,0.14187809528954312,0.4842900697952906,122214197.83063634,0.4842900697952906,12,0.14187809528954312,122214197.83063637,0.14187809528954315,122214197.83063637,0,87062761.85714254,0.14187809528954315,537.4244559082872,0.4842900697952906,0.0,True,0.0,0.0
kudamatsu,44,1,14.313989565065468,7.156994782532734,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
