電柱番号,設置付近住所,町会名,管理番号,緯度,経度
久保028,富岡町57,富岡町(北部),062-061,36.31786308,139.590085
久保024,富岡町57,富岡町(北部),062-062,36.31898516,139.5894627
久保025,富岡町58-4,富岡町(北部),062-063,36.31899352,139.5899824
久保327,富岡町58-4,富岡町(北部),062-064,36.31930402,139.5902574
久保323,富岡町63,富岡町(北部),062-065,36.31950227,139.5890488
久保322,富岡町63,富岡町(北部),062-066,36.31992256,139.5891049
仲町828,富岡町638,富岡町(北部),062-067,36.31946496,139.5946695
犬伏478,富岡町641,富岡町(北部),062-068,36.31994683,139.5959644
久保180,富岡町67,富岡町(北部),062-069,36.31995304,139.5878367
久保319,富岡町67,富岡町(北部),062-070,36.32096824,139.588675
久保181,富岡町67,富岡町(北部),062-071,36.32030969,139.5879303
犬伏472,富岡町674-1,富岡町(北部),062-072,36.32040569,139.5961085
仲町805,富岡町680-2,富岡町(北部),062-073,36.32184663,139.5961907
仲町810,富岡町682-3,富岡町(北部),062-074,36.32155142,139.5974453
仲町853,富岡町683,富岡町(北部),062-075,36.32087013,139.597252
仲町854,富岡町684-7,富岡町(北部),062-076,36.32077846,139.5969293
久保313,富岡町68-6,富岡町(北部),062-077,36.32148733,139.5884315
仲町814,富岡町687,富岡町(北部),062-078,36.32058237,139.5979958
仲町846,富岡町693,富岡町(北部),062-079,36.32140976,139.5982782
久保320,富岡町72-6,富岡町(北部),062-080,36.32031389,139.5891463
久保316,富岡町72-7,富岡町(北部),062-081,36.32132649,139.5889351
久保328,富岡町79-2,富岡町(北部),062-082,36.31964262,139.5903865
久保160,富岡町9000,富岡町(北部),062-083,36.31985087,139.587194
久保166,富岡町3,富岡町(北部),062-084,36.32108066,139.5879841
久保317,富岡町74-1,富岡町（北部）,062-085,36.32090765,139.5890148
富岡744,富岡町1296-2,富岡町(南部),063-001,36.31131256,139.5960192
富岡860,富岡町1299-8,富岡町(南部),063-002,36.31224351,139.5960328
富岡747,富岡町1320,富岡町(南部),063-003,36.3114886,139.5948062
富岡758,富岡町1322-4,富岡町(南部),063-004,36.31192106,139.5951362
富岡745,富岡町1326,富岡町(南部),063-005,36.31149251,139.5956417
富岡543,富岡町1340,富岡町(南部),063-006,36.31251064,139.5938117
富岡561,富岡町1342,富岡町(南部),063-007,36.31317251,139.5941625
富岡501,富岡町1347,富岡町(南部),063-008,36.31250241,139.5956939
富岡506,富岡町1348-2,富岡町(南部),063-009,36.3125076,139.59491
富岡731,富岡町1351,富岡町(南部),063-010,36.31353389,139.5951827
富岡767,富岡町1353,富岡町(南部),063-011,36.313199,139.5965113
富岡351,富岡町1355,富岡町(南部),063-012,36.31309152,139.5960313
富岡705,富岡町1356,富岡町(南部),063-013,36.31347986,139.5972526
富岡349,富岡町1357-2,富岡町(南部),063-014,36.31336513,139.596704
富岡619,富岡町1437,富岡町(南部),063-015,36.31699458,139.592251
富岡610,富岡町1440,富岡町(南部),063-016,36.3169652,139.5939987
富岡608A,富岡町1445-1,富岡町(南部),063-017,36.31661216,139.5930488
富岡684A,富岡町1446,富岡町(南部),063-018,36.31714096,139.5930601
富岡686A,富岡町1448,富岡町(南部),063-019,36.31731432,139.5938497
富岡609A,富岡町1459,富岡町(南部),063-020,36.31683214,139.5940276
富岡642,富岡町1462-2,富岡町(南部),063-021,36.31556037,139.5939041
富岡656,富岡町1469,富岡町(南部),063-022,36.31595359,139.5932249
富岡475A,富岡町1483,富岡町(南部),063-023,36.31518678,139.5929966
富岡437,富岡町1504,富岡町(南部),063-024,36.31491207,139.5948427
富岡445A,富岡町1504-2,富岡町(南部),063-025,36.31501626,139.5946635
富岡446,富岡町1504-2,富岡町(南部),063-026,36.31468127,139.5949427
富岡479A,富岡町1533,富岡町(南部),063-027,36.31568005,139.5946635
富岡662,富岡町1547,富岡町(南部),063-028,36.31626551,139.5943887
富岡670,富岡町1549,富岡町(南部),063-029,36.31644946,139.5950675
富岡687A,富岡町1575-5,富岡町(南部),063-030,36.31746928,139.5944933
仲町223,富岡町199,富岡町(南部),063-031,36.31740285,139.5924687
仲町222,富岡町199-4,富岡町(南部),063-032,36.31775953,139.5927612
富岡913,富岡町224-1,富岡町(南部),063-033,36.3161994,139.5910525
富岡966,富岡町225,富岡町(南部),063-034,36.31659203,139.5896968
富岡915,富岡町225-2,富岡町(南部),063-035,36.31644428,139.59079
富岡963,富岡町225-27,富岡町(南部),063-036,36.31668427,139.5904701
富岡918,富岡町272-3,富岡町(南部),063-037,36.31592466,139.5907717
富岡923,富岡町283,富岡町(南部),063-038,36.3152061,139.5894103
富岡922,富岡町283-10,富岡町(南部),063-039,36.31512779,139.5898589
富岡937,富岡町284,富岡町(南部),063-040,36.31549633,139.589553
富岡938,富岡町286-2,富岡町(南部),063-041,36.31616124,139.5895293
富岡924,富岡町288-1,富岡町(南部),063-042,36.31535441,139.5888614
富岡953,富岡町289-1,富岡町(南部),063-043,36.31636124,139.5890444
富岡935,富岡町289-1,富岡町(南部),063-044,36.31604769,139.5889602
富岡927,富岡町291,富岡町(南部),063-045,36.3154949,139.5885428
富岡930,富岡町294,富岡町(南部),063-046,36.31581095,139.5877378
富岡931,富岡町294,富岡町(南部),063-047,36.31613515,139.5875714
恵比寿253,富岡町295,富岡町(南部),063-048,36.31485519,139.5866219
恵比寿225,富岡町295-1,富岡町(南部),063-049,36.31527966,139.5873529
富岡815,富岡町300-26,富岡町(南部),063-051,36.31482718,139.5878118
富岡813,富岡町305,富岡町(南部),063-052,36.31473469,139.5886403
富岡808,富岡町314,富岡町(南部),063-053,36.31394957,139.5896443
富岡812,富岡町315,富岡町(南部),063-054,36.31448704,139.5893106
富岡807,富岡町316,富岡町(南部),063-055,36.31377374,139.5891643
富岡806,富岡町317,富岡町(南部),063-056,36.31357208,139.5885654
富岡811,富岡町320,富岡町(南部),063-057,36.31443284,139.5887642
恵比寿223,富岡町300-15,富岡町(南部),063-058,36.31449363,139.5871621
恵比寿222,富岡町327,富岡町(南部),063-060,36.31436054,139.5868708
恵比寿221,富岡町331-4,富岡町(南部),063-061,36.31404979,139.586698
恵比寿231,富岡町331-6,富岡町(南部),063-062,36.31388086,139.587078
恵比寿219,富岡町332-15,富岡町(南部),063-063,36.31367563,139.5867219
恵比寿220,富岡町333,富岡町(南部),063-064,36.31358645,139.5870944
富岡804,富岡町335-4,富岡町(南部),063-065,36.3133049,139.588063
富岡805,富岡町336,富岡町(南部),063-066,36.31338707,139.5876972
富岡809,富岡町351,富岡町(南部),063-067,36.31402152,139.5900128
富岡831,富岡町354,富岡町(南部),063-068,36.31457066,139.5905427
高萩211,高萩町4-7,浅沼町,064-001,36.30455594,139.5926671
新晃507,浅沼町100-1,浅沼町,064-002,36.3057815,139.5871401
植上449,浅沼町10-13,浅沼町,064-003,36.30380676,139.59051
植上452,浅沼町10-24,浅沼町,064-004,36.30424754,139.5904475
植上456,浅沼町10-28,浅沼町,064-005,36.30419919,139.5898084
新晃327,浅沼町106-2,浅沼町,064-006,36.30579623,139.5877726
新晃508,浅沼町106-2,浅沼町,064-007,36.30578621,139.5875451
浅沼418,浅沼町107,浅沼町,064-008,36.30565322,139.5883512
植上447,浅沼町10-9,浅沼町,064-009,36.30385482,139.5909209
浅沼423,浅沼町110,浅沼町,064-010,36.30567958,139.5891211
新晃347,浅沼町129,浅沼町,064-011,36.30615618,139.58908
新晃349,浅沼町129,浅沼町,064-012,36.30628062,139.5895074
新晃326,浅沼町129-20,浅沼町,064-013,36.30662118,139.5894075
浅沼420,浅沼町137-1,浅沼町,064-014,36.30616451,139.5882609
浅沼401,浅沼町141-2,浅沼町,064-015,36.30571152,139.5883896
新晃330,浅沼町146,浅沼町,064-016,36.30604452,139.5877187
新晃315,浅沼町146-2,浅沼町,064-017,36.30671308,139.5873662
新晃316,浅沼町146-2,浅沼町,064-018,36.30639283,139.5875285
新晃334,浅沼町153,浅沼町,064-019,36.30786685,139.587477
新晃317,浅沼町160-2,浅沼町,064-020,36.30707773,139.5872351
新晃318,浅沼町161,浅沼町,064-021,36.30754265,139.5871675
新晃393,浅沼町163-5,浅沼町,064-022,36.30786344,139.5862601
新晃313,浅沼町167,浅沼町,064-023,36.30687774,139.5868851
新晃311,浅沼町167-6,浅沼町,064-024,36.30690939,139.5863251
新晃312,浅沼町167-8,浅沼町,064-025,36.30689136,139.586541
新晃394,浅沼町168,浅沼町,064-026,36.30737016,139.5861684
新晃344,浅沼町171-6,浅沼町,064-027,36.30749958,139.5852077
新晃194,浅沼町173-2,浅沼町,064-028,36.30824057,139.5837635
新晃310,浅沼町173-8,浅沼町,064-029,36.30693348,139.5857713
新晃307,浅沼町174-5,浅沼町,064-030,36.30692938,139.5853577
新晃306,浅沼町175-15,浅沼町,064-031,36.30700958,139.5848728
新晃304,浅沼町178-4,浅沼町,064-032,36.30768948,139.5846025
新晃332,浅沼町179,浅沼町,064-033,36.30767201,139.5844353
新晃332,,浅沼町,064-034,36.3077667,139.5842061
新晃333,,浅沼町,064-035,36.30799364,139.5844624
新晃007,浅沼町183-24,浅沼町,064-036,36.30819579,139.5833389
新晃194,浅沼町183-3,浅沼町,064-037,36.30832108,139.5840352
新晃106,浅沼町185,浅沼町,064-038,36.30870997,139.5842435
新晃305,浅沼町188-10,浅沼町,064-039,36.30812422,139.5846725
新晃112,浅沼町189-9,浅沼町,064-040,36.30820417,139.5850676
新晃110,浅沼町191,浅沼町,064-041,36.30909437,139.584941
新晃109,浅沼町192,浅沼町,064-042,36.30918494,139.5848502
新晃191,浅沼町192-11,浅沼町,064-043,36.30940516,139.5849152
新晃123,浅沼町193,浅沼町,064-044,36.30934165,139.5862748
新晃122,浅沼町193,浅沼町,064-045,36.30931105,139.5859475
植上268,浅沼町19-5,浅沼町,064-046,36.30454394,139.5906111
新晃116,浅沼町196-4,浅沼町,064-047,36.30918686,139.5852959
新晃111,浅沼町196-6,浅沼町,064-048,36.3087019,139.5850027
新晃189,浅沼町196-7,浅沼町,064-049,36.30898858,139.5855135
新晃190,浅沼町198-9,浅沼町,064-050,36.30831362,139.5855612
新晃114,浅沼町201-3,浅沼町,064-051,36.3078004,139.5852413
新晃115,浅沼町201-8,浅沼町,064-052,36.30779093,139.5856287
新晃113,浅沼町201-9,浅沼町,064-053,36.30803281,139.5852276
新晃399,浅沼町201-9,浅沼町,064-054,36.3079645,139.5857949
新晃397,浅沼町202,浅沼町,064-055,36.30830001,139.5856926
新晃392,浅沼町202-9,浅沼町,064-056,36.30830948,139.5863026
新晃391,浅沼町212,浅沼町,064-057,36.30822928,139.5869225
新晃373,浅沼町213,浅沼町,064-058,36.30874837,139.5872933
新晃374,浅沼町213-16,浅沼町,064-059,36.30853174,139.5872709
新晃351,浅沼町213-18,浅沼町,064-060,36.30852504,139.5876036
新晃352,浅沼町213-22,浅沼町,064-061,36.30834543,139.5878724
新晃336,浅沼町213-4,浅沼町,064-062,36.3081371,139.5872384
新晃322,浅沼町215-1,浅沼町,064-063,36.30788681,139.5884625
新晃370,浅沼町216-5,浅沼町,064-064,36.3078163,139.5888885
新晃371,浅沼町217,浅沼町,064-065,36.30766468,139.5894949
新晃324,浅沼町221,浅沼町,064-066,36.30729442,139.5887372
新晃325,浅沼町223-2,浅沼町,064-067,36.30681894,139.5886672
新晃329,浅沼町226,浅沼町,064-068,36.30711393,139.5895949
新晃382,浅沼町228,浅沼町,064-069,36.30661481,139.5902144
新晃154,浅沼町228-3,浅沼町,064-070,36.30710695,139.5904174
新晃146,浅沼町229,浅沼町,064-071,36.30752446,139.5900809
新晃358,浅沼町244,浅沼町,064-072,36.30818542,139.5887824
新晃353,浅沼町244-11,浅沼町,064-073,36.30826764,139.5881321
新晃184,浅沼町249,浅沼町,064-074,36.30956442,139.5878374
新晃135,浅沼町249,浅沼町,064-075,36.30907864,139.5877985
新晃134,浅沼町249,浅沼町,064-076,36.30910917,139.5873908
新晃128,浅沼町249,浅沼町,064-077,36.3094133,139.5874135
新晃130,浅沼町249,浅沼町,064-078,36.30996662,139.5874707
新晃129,浅沼町249,浅沼町,064-079,36.3096794,139.5874346
新晃179,浅沼町251-17,浅沼町,064-080,36.31007907,139.5879374
新晃182,浅沼町251-2,浅沼町,064-081,36.31003164,139.5883674
新晃167,浅沼町263-6,浅沼町,064-082,36.30940174,139.5899995
浅沼335,浅沼町276,浅沼町,064-083,36.31113991,139.5900294
浅沼227A,浅沼町280,浅沼町,064-084,36.31137932,139.5890255
浅沼337,浅沼町280,浅沼町,064-085,36.31112901,139.589193
浅沼240,浅沼町284,浅沼町,064-086,36.31084512,139.5883173
浅沼242,浅沼町284,浅沼町,064-087,36.31083407,139.5886831
浅沼246,浅沼町284,浅沼町,064-088,36.31065264,139.5883748
浅沼338,浅沼町285-10,浅沼町,064-089,36.3107763,139.5893047
浅沼339,浅沼町285-14,浅沼町,064-090,36.31057496,139.5892631
新晃131,浅沼町287,浅沼町,064-091,36.31024242,139.5875174
新晃132,浅沼町288-1,浅沼町,064-092,36.31053684,139.5875474
浅沼073A,浅沼町293-1,浅沼町,064-093,36.31139836,139.5876307
浅沼211,浅沼町294,浅沼町,064-094,36.31099758,139.5875084
浅沼071Ａ,,浅沼町,064-095,36.31148587,139.5867549
浅沼070A,浅沼町294,浅沼町,064-096,36.31141061,139.5873232
浅沼215,浅沼町296,浅沼町,064-097,36.3103102,139.5871674
新晃127,浅沼町301,浅沼町,064-098,36.30939109,139.5869097
植上275,浅沼町30-1,浅沼町,064-099,36.30427674,139.5895612
浅沼066,浅沼町302,浅沼町,064-100,36.30987684,139.5867185
新晃124,浅沼町304,浅沼町,064-101,36.30980238,139.5863174
新晃118,浅沼町306-23,浅沼町,064-103,36.30980239,139.5853198
浅沼222,浅沼町309,浅沼町,064-104,36.31037482,139.5862047
浅沼065,浅沼町313-1,浅沼町,064-105,36.31032847,139.5867175
新晃120,浅沼町314-1,浅沼町,064-106,36.3105237,139.585637
浅沼064,浅沼町317,浅沼町,064-107,36.3107609,139.5866743
浅沼063,浅沼町320,浅沼町,064-108,36.31105814,139.5867199
浅沼213,浅沼町320-23,浅沼町,064-109,36.31142894,139.586421
亀井315,浅沼町321-1,浅沼町,064-110,36.31111924,139.5856272
亀井343A,浅沼町324,浅沼町,064-111,36.31132749,139.583702
浅沼072A,浅沼町326,浅沼町,064-112,36.31169667,139.5876281
亀井312,浅沼町340,浅沼町,064-113,36.31164751,139.585206
亀井313,浅沼町341,浅沼町,064-114,36.31149003,139.5856286
亀井307,浅沼町345,浅沼町,064-115,36.31175239,139.583937
亀井308,浅沼町345,浅沼町,064-116,36.31188239,139.58456
亀井310,浅沼町346-3,浅沼町,064-117,36.31124802,139.5845361
亀井316,浅沼町347,浅沼町,064-118,36.31078733,139.5855522
亀井317,浅沼町349-1,浅沼町,064-119,36.31040901,139.5850051
亀井318,浅沼町349-11,浅沼町,064-120,36.30998237,139.5840199
亀井318,浅沼町349-7,浅沼町,064-121,36.31040651,139.5847125
亀井311,浅沼町353-8,浅沼町,064-122,36.31125638,139.584177
亀井307,浅沼町353-9,浅沼町,064-123,36.31210486,139.5840561
新晃151,浅沼町358-1,浅沼町,064-124,36.30972676,139.5842326
新晃105,浅沼町360,浅沼町,064-125,36.3090649,139.5840352
新晃105,浅沼町360,浅沼町,064-126,36.30920683,139.5843235
新晃104,浅沼町361,浅沼町,064-127,36.30904437,139.5837849
新晃102,浅沼町362,浅沼町,064-128,36.30917021,139.5834474
浅沼074Ａ,,浅沼町,064-129,36.31281877,139.5874592
新晃005,浅沼町362-8,浅沼町,064-130,36.30860193,139.5830902
新晃101,浅沼町363,浅沼町,064-131,36.30928908,139.5830989
新晃001,浅沼町363,浅沼町,064-132,36.30932675,139.5826264
新晃138,浅沼町364,浅沼町,064-133,36.30930204,139.5828775
新晃138,浅沼町364,浅沼町,064-134,36.30938572,139.5827653
亀井318,浅沼町373,浅沼町,064-135,36.3102776,139.5844384
亀井318,浅沼町373,浅沼町,064-136,36.30978399,139.5834977
亀井058,浅沼町373,浅沼町,064-137,36.30998756,139.5823202
亀井343A,浅沼町373,浅沼町,064-138,36.31125639,139.5838359
亀井342A,浅沼町374,浅沼町,064-140,36.31127075,139.5832902
亀井326,浅沼町376,浅沼町,064-141,36.31203909,139.5834201
亀井325,浅沼町376,浅沼町,064-142,36.31201291,139.5831848
亀井325,浅沼町376,浅沼町,064-143,36.31203289,139.5829551
浅沼405,浅沼町38-1,浅沼町,064-144,36.30527134,139.5895394
亀井337,浅沼町381-5,浅沼町,064-145,36.31228738,139.5848861
亀井337,浅沼町381-7,浅沼町,064-146,36.31229848,139.5850674
亀井306,浅沼町382,浅沼町,064-147,36.31247624,139.58456
浅沼059A,浅沼町399-3,浅沼町,064-148,36.3123147,139.5880767
浅沼061A,浅沼町401,浅沼町,064-149,36.31201919,139.587868
浅沼205,浅沼町403,浅沼町,064-150,36.31159841,139.5889359
浅沼204,浅沼町403,浅沼町,064-151,36.31145647,139.5885422
浅沼403,浅沼町44-3,浅沼町,064-152,36.30543187,139.5888386
浅沼308,浅沼町457-2,浅沼町,064-153,36.31155235,139.590128
浅沼340,浅沼町461-2,浅沼町,064-155,36.31092743,139.5905818
新晃164,浅沼町465-6,浅沼町,064-156,36.31021081,139.5901744
新晃159,浅沼町465-9,浅沼町,064-157,36.30992608,139.5901656
浅沼328,浅沼町473-1,浅沼町,064-158,36.31089994,139.5909779
浅沼406,浅沼町48-3,浅沼町,064-159,36.30516715,139.5882601
富岡762,浅沼町489-5,浅沼町,064-160,36.31037096,139.5944641
富岡737,浅沼町508-5,浅沼町,064-161,36.3097143,139.5944666
植上202,浅沼町52,浅沼町,064-162,36.30436558,139.588401
植上004,浅沼町52,浅沼町,064-163,36.30380087,139.5885063
新晃141,浅沼町520,浅沼町,064-164,36.30879541,139.5896673
新晃162,浅沼町520,浅沼町,064-165,36.30872962,139.5899331
新晃180,浅沼町520,浅沼町,064-166,36.30890096,139.589232
新晃137,浅沼町520,浅沼町,064-167,36.30904919,139.5884658
新晃169,浅沼町520,浅沼町,064-168,36.30991943,139.589377
新晃140,浅沼町520,浅沼町,064-169,36.30899255,139.5888432
新晃177,浅沼町520,浅沼町,064-170,36.30995613,139.5890347
新晃157,浅沼町520,浅沼町,064-171,36.30898181,139.5900747
新晃172,浅沼町532,浅沼町,064-172,36.30853601,139.5900145
新晃173,浅沼町461,浅沼町,064-173,36.31096515,139.5901593
新晃160,浅沼町566-5,浅沼町,064-174,36.30737032,139.5903332
植上204,浅沼町59-5,浅沼町,064-175,36.30462997,139.5882924
新晃119,浅沼町598,浅沼町,064-176,36.30692726,139.5906923
新晃172,浅沼町532,浅沼町,064-177,36.30843462,139.5904595
新晃018,浅沼町70-6,浅沼町,064-178,36.30532956,139.5865086
新晃504,浅沼町73-1,浅沼町,064-179,36.30593387,139.5859436
新晃016,浅沼町73-6,浅沼町,064-180,36.30560146,139.586105
新晃014,浅沼町74,浅沼町,064-181,36.30602865,139.5854452
新晃023,浅沼町75,浅沼町,064-182,36.30630305,139.5855575
新晃012,浅沼町76-6,浅沼町,064-183,36.30655685,139.5845603
富岡580,浅沼町774,浅沼町,064-184,36.30833968,139.5926247
新晃302,浅沼町78-1,浅沼町,064-185,36.30698706,139.584445
富岡586A,浅沼町782,浅沼町,064-186,36.30971928,139.5926364
新晃306,浅沼町78-4,浅沼町,064-187,36.30692186,139.5851202
富岡597,浅沼町785,浅沼町,064-188,36.30895022,139.5926346
富岡587A,浅沼町794-1,浅沼町,064-189,36.30972374,139.5932403
富岡591A,浅沼町796,浅沼町,064-190,36.30908579,139.5936304
富岡546,浅沼町819,浅沼町,064-191,36.31161658,139.592247
富岡569,浅沼町820,浅沼町,064-192,36.31154433,139.5926652
新晃501,浅沼町82-11,浅沼町,064-193,36.30630863,139.5859477
新晃502,浅沼町83,浅沼町,064-194,36.30668716,139.5859427
富岡552A,浅沼町838,浅沼町,064-195,36.31217908,139.593689
富岡792,浅沼町863,浅沼町,064-196,36.31067282,139.5944727
富岡761,浅沼町868-2,浅沼町,064-197,36.31008625,139.594463
富岡566,浅沼町885,浅沼町,064-198,36.31253147,139.5925154
浅沼078A,浅沼町9000,浅沼町,064-199,36.31211333,139.5869243
浅沼075A,浅沼町9000,浅沼町,064-200,36.31246628,139.5870195
浅沼076A,浅沼町9000,浅沼町,064-201,36.31203165,139.5873523
新晃505,浅沼町98,浅沼町,064-202,36.30588449,139.5864674
新晃506,浅沼町99-2,浅沼町,064-203,36.30582787,139.586896
亀井331,相生町383,浅沼町,064-204,36.31280152,139.5850832
浅沼057A,富岡町340-2,浅沼町,064-205,36.31239806,139.5889546
浅沼219,富岡町340-5,浅沼町,064-206,36.31228971,139.5893866
浅沼218,富岡町341,浅沼町,064-207,36.31218672,139.589708
工団東337,栄町6,鐙塚町,066-001,36.3119857,139.6094177
工団東054,鐙塚町141-1,鐙塚町,066-003,36.30727595,139.6028484
黒袴332,鐙塚町154-11,鐙塚町,066-004,36.30631334,139.6038536
黒袴385,鐙塚町166-3,鐙塚町,066-005,36.3062251,139.605171
黒袴319,鐙塚町166-6,鐙塚町,066-006,36.30656701,139.6051034
黒袴305,鐙塚町191-2,鐙塚町,066-007,36.30502833,139.6071819
黒袴046A,鐙塚町195,鐙塚町,066-008,36.30423981,139.6072308
黒袴047A,鐙塚町195,鐙塚町,066-009,36.30428288,139.6076543
黒袴029A,鐙塚町196,鐙塚町,066-010,36.30422402,139.6066481
黒袴433,鐙塚町204,鐙塚町,066-011,36.30374301,139.6077932
黒袴434,鐙塚町210,鐙塚町,066-012,36.30325167,139.6077666
黒袴430,鐙塚町214,鐙塚町,066-013,36.30363496,139.6081843
黒袴433,鐙塚町215,鐙塚町,066-014,36.30360133,139.6074144
三毳西532,鐙塚町218-2,鐙塚町,066-015,36.30457876,139.6100001
黒袴035,鐙塚町222-1,鐙塚町,066-016,36.30459875,139.6083114
黒袴036,鐙塚町222-2,鐙塚町,066-017,36.30453874,139.6088905
黒袴033,鐙塚町225,鐙塚町,066-018,36.3047481,139.6078357
黒袴307,鐙塚町228-1,鐙塚町,066-019,36.3052531,139.6087539
黒袴304,鐙塚町241-1,鐙塚町,066-020,36.3053561,139.6078829
黒袴312,鐙塚町248,鐙塚町,066-021,36.3064826,139.6075965
黒袴309,鐙塚町259,鐙塚町,066-022,36.30577802,139.60857
黒袴342,鐙塚町259-3,鐙塚町,066-023,36.30625053,139.6086991
黒袴308,鐙塚町260,鐙塚町,066-025,36.30586466,139.6079142
黒袴313,鐙塚町264,鐙塚町,066-026,36.30687007,139.6077931
黒袴315,鐙塚町298-1,鐙塚町,066-027,36.30644934,139.6072118
黒袴436,鐙塚町30-1,鐙塚町,066-028,36.30325468,139.6068293
工団東505,鐙塚町301-1,鐙塚町,066-029,36.30740388,139.6068782
黒袴317,鐙塚町315-7,鐙塚町,066-030,36.3064454,139.6064183
黒袴330,鐙塚町332-1,鐙塚町,066-031,36.30715494,139.6053092
黒袴354,鐙塚町338-6,鐙塚町,066-032,36.30715079,139.6045507
黒袴335,鐙塚町341-5,鐙塚町,066-033,36.30677998,139.6043035
黒袴323,鐙塚町342,鐙塚町,066-034,36.3070341,139.6035333
黒袴311,鐙塚町261,鐙塚町,066-035,36.30623293,139.6079656
久保308,堀米町163,堀米町(安良町下),068-002,36.32256937,139.5886414
久保305,堀米町165,堀米町(安良町下),068-003,36.32179263,139.5904861
仲町407,堀米町2,堀米町(安良町下),068-004,36.32237812,139.5908972
仲町404,堀米町3,堀米町(安良町下),068-005,36.32262589,139.5917038
仲町401,堀米町3,堀米町(安良町下),068-006,36.32335442,139.5915396
仲町004,堀米町352,堀米町(安良町下),068-011,36.32352793,139.5906563
安良町013,堀米町352-1,堀米町(安良町下),068-012,36.32323016,139.5892464
安良町519,堀米町352-2,堀米町(安良町下),068-013,36.32398451,139.5891939
久保352,堀米町36-2,堀米町(安良町下),068-014,36.32238864,139.5896423
仲町005,堀米町365,堀米町(安良町下),068-015,36.32359098,139.5909949
久保365,堀米町37-2,堀米町(安良町下),068-016,36.32230643,139.5892814
久保357,,堀米町(安良町下),068-025,36.32218226,139.5887198
安良町012,堀米町9000,堀米町(安良町下),068-049,36.3231538,139.5888814
久保304,堀米町9000,堀米町(安良町下),068-050,36.32177619,139.5899323
仲町406,堀米町9000,堀米町（安良町下）,068-052,36.32247141,139.5915199
久保169,久保町118,堀米町(安良町上),069-001,36.32051568,139.5866004
久保312,富岡町68,堀米町(安良町上),069-002,36.32167198,139.5884663
久保314,富岡町68-7,堀米町(安良町上),069-003,36.32167534,139.5881266
久保199,堀米町104,堀米町(安良町上),069-004,36.3216531,139.5860828
安良町312,堀米町1281,堀米町(安良町上),069-005,36.32326177,139.5869949
安良町002,堀米町268,堀米町(安良町上),069-007,36.32237326,139.5851904
安良町101,堀米町268,堀米町(安良町上),069-008,36.32273711,139.5851065
安良町002,堀米町269,堀米町(安良町上),069-009,36.32257546,139.5852539
安良町003,堀米町270,堀米町(安良町上),069-011,36.32247461,139.5856042
安良町004,堀米町272,堀米町(安良町上),069-012,36.32254521,139.5860089
安良町140,堀米町274,堀米町(安良町上),069-013,36.32319534,139.5858536
安良町002,堀米町274,堀米町(安良町上),069-014,36.32253096,139.5851351
安良町005,堀米町275,堀米町(安良町上),069-015,36.32259044,139.5862216
安良町006,堀米町277,堀米町(安良町上),069-016,36.32268932,139.5867049
安良町007,堀米町281,堀米町(安良町上),069-017,36.32276931,139.5871199
安良町302,堀米町281,堀米町(安良町上),069-018,36.32351846,139.5869088
安良町501,堀米町286,堀米町(安良町上),069-019,36.3234554,139.5884148
安良町011,堀米町286,堀米町(安良町上),069-020,36.32309014,139.5885126
安良町505,堀米町288,堀米町(安良町上),069-022,36.32380507,139.5876998
安良町503,堀米町288-3,堀米町(安良町上),069-023,36.32386451,139.5882911
安良町510,堀米町291-2,堀米町(安良町上),069-024,36.32410613,139.5871923
安良町115,堀米町300,堀米町(安良町上),069-025,36.32365259,139.5859167
安良町509,堀米町300-2,堀米町(安良町上),069-026,36.32368782,139.5872627
安良町108,堀米町300-9,堀米町(安良町上),069-027,36.32338256,139.5857353
安良町103,堀米町302,堀米町(安良町上),069-029,36.32317617,139.5855637
安良町104,堀米町304,堀米町(安良町上),069-030,36.32352779,139.5851437
久保310,堀米町48,堀米町(安良町上),069-045,36.32172785,139.5888135
久保147,堀米町53,堀米町(安良町上),069-054,36.3220503,139.588276
安良町009,堀米町54-2,堀米町(安良町上),069-061,36.32296716,139.5879665
安良町008,堀米町54-2,堀米町(安良町上),069-062,36.32284883,139.5874835
久保314,堀米町57-1,堀米町(安良町上),069-064,36.32180785,139.5878763
久保146,堀米町59-2,堀米町(安良町上),069-065,36.32204978,139.5877552
久保145,堀米町63,堀米町(安良町上),069-066,36.32197781,139.58725
久保197,堀米町66,堀米町(安良町上),069-067,36.3218036,139.5868192
久保143,堀米町66,堀米町(安良町上),069-068,36.32188193,139.58704
久保149,堀米町66,堀米町(安良町上),069-069,36.32219221,139.58707
久保198,堀米町70,堀米町(安良町上),069-070,36.32171366,139.5864278
久保170,堀米町81,堀米町(安良町上),069-074,36.32051796,139.586264
久保394A,堀米町73,堀米町(安良町上),069-075,36.32197779,139.5858476
久保392A,堀米町73,堀米町(安良町上),069-076,36.32182364,139.5862228
久保395A,堀米町73,堀米町(安良町上),069-077,36.32203389,139.5861717
安良町108,堀米町301-2,堀米町(安良町上),069-078,36.32365425,139.5857586
安良町140,堀米町247,堀米町(安良町上),069-079,36.32335205,139.5859774
安良町313,堀米町294,堀米町(七区),070-001,36.32376446,139.5868841
安良町304,堀米町294,堀米町(七区),070-004,36.32390091,139.5864466
安良町307,堀米町297,堀米町(七区),070-007,36.32374673,139.5862016
安良町303,堀米町9000,堀米町(七区),070-008,36.32352311,139.5864566
