緯度,経度,防犯灯_ID
34.03435944,131.9143456,kdmtscl00062
34.03499389,131.9142581,kdmtscl00063
34.03532167,131.9142506,kdmtscl00064
34.03579417,131.9142792,kdmtscl00065
34.03526528,131.9156603,kdmtscl00066
34.03516472,131.9159392,kdmtscl00067
34.03520167,131.9168153,kdmtscl00068
34.03515639,131.9153053,kdmtscl00069
34.03403833,131.9152153,kdmtscl00070
34.03353972,131.9148831,kdmtscl00071
34.033335,131.9151042,kdmtscl00072
34.03422778,131.9156089,kdmtscl00073
34.03443917,131.9160714,kdmtscl00074
34.03386639,131.9163942,kdmtscl00075
34.03308,131.915365,kdmtscl00076
34.03499389,131.9078922,kdmtscl00077
34.03407694,131.9078508,kdmtscl00078
34.03406611,131.9087533,kdmtscl00079
34.03373861,131.9088783,kdmtscl00080
34.03384583,131.9083019,kdmtscl00081
34.03378472,131.90844,kdmtscl00082
34.03334778,131.90846,kdmtscl00083
34.03366778,131.9079833,kdmtscl00084
34.03320639,131.9080236,kdmtscl00085
34.03277056,131.9078425,kdmtscl00086
33.96218472,131.8510761,kdmtscl00087
33.95316611,131.8595,kdmtscl00088
33.96791528,131.8488422,kdmtscl00089
33.94467417,131.8218111,kdmtscl00090
33.94491389,131.8234356,kdmtscl00091
33.94495444,131.8242444,kdmtscl00092
33.94460944,131.8225906,kdmtscl00093
33.9442125,131.8252828,kdmtscl00094
33.94381694,131.8253569,kdmtscl00095
33.9438775,131.8259517,kdmtscl00096
33.94770306,131.8269461,kdmtscl00097
33.94663889,131.8262992,kdmtscl00098
33.94638167,131.8262592,kdmtscl00099
33.94555583,131.8264167,kdmtscl00100
33.94496972,131.8262681,kdmtscl00101
33.94444194,131.8263803,kdmtscl00102
33.94800361,131.8285164,kdmtscl00103
33.94776194,131.8273803,kdmtscl00104
33.94595222,131.8261392,kdmtscl00105
33.94566389,131.8260078,kdmtscl00106
33.94546139,131.8258928,kdmtscl00107
33.94561389,131.8256331,kdmtscl00108
33.94491778,131.8254092,kdmtscl00109
33.94466833,131.8251692,kdmtscl00110
33.9437325,131.8257014,kdmtscl00111
33.94356722,131.8259203,kdmtscl00112
33.94472417,131.8248544,kdmtscl00113
33.94474611,131.8223361,kdmtscl00114
34.04045222,131.8888117,kdmtscl00115
34.04114583,131.8863969,kdmtscl00116
34.04090389,131.8876728,kdmtscl00117
34.03634972,131.9116581,kdmtscl00118
34.03601611,131.9100831,kdmtscl00119
34.03588528,131.9103908,kdmtscl00120
34.03516139,131.9116558,kdmtscl00121
34.0344675,131.9088061,kdmtscl00122
34.02682278,131.8982756,kdmtscl00123
34.02300667,131.9169606,kdmtscl00124
34.03674333,131.8866614,kdmtscl00125
34.02151194,131.9172367,kdmtscl00126
34.02461444,131.866955,kdmtscl00127
34.02751222,131.8585633,kdmtscl00128
34.02694889,131.8564697,kdmtscl00129
34.02163389,131.8576936,kdmtscl00130
34.02150417,131.8560186,kdmtscl00131
34.02339028,131.8618372,kdmtscl00132
34.03696222,131.8840194,kdmtscl00133
34.03682694,131.8851506,kdmtscl00134
34.08777306,131.8823975,kdmtscl00135
34.08748417,131.881725,kdmtscl00136
34.04020611,131.8868228,kdmtscl00137
34.02725472,131.9150706,kdmtscl00138
34.02745889,131.8572458,kdmtscl00139
34.01571361,131.8553047,kdmtscl00140
34.04033667,131.8847108,kdmtscl00141
34.04008639,131.8854808,kdmtscl00142
34.03903167,131.8842117,kdmtscl00143
34.03908,131.8847206,kdmtscl00144
34.03931083,131.8855383,kdmtscl00145
34.03784917,131.8867617,kdmtscl00146
34.03761028,131.8874964,kdmtscl00147
34.03689833,131.8860408,kdmtscl00148
34.04213972,131.882955,kdmtscl00149
34.02537028,131.8670014,kdmtscl00150
34.102905,131.8830744,kdmtscl00151
34.03675694,131.8763042,kdmtscl00152
34.02819306,131.8674122,kdmtscl00153
34.0427825,131.8741319,kdmtscl00154
34.04237111,131.8740519,kdmtscl00155
34.04206972,131.8736856,kdmtscl00156
34.04147472,131.8736403,kdmtscl00157
34.04111306,131.8744628,kdmtscl00158
34.04086722,131.8733553,kdmtscl00159
34.03997028,131.8732242,kdmtscl00160
34.03933,131.8733267,kdmtscl00161
34.03892639,131.8732131,kdmtscl00162
34.01957056,131.8481692,kdmtscl00163
34.03044083,131.8688597,kdmtscl00164
34.03020083,131.8509478,kdmtscl00165
34.02979333,131.8498258,kdmtscl00166
34.0295775,131.8488869,kdmtscl00167
34.02947333,131.8485219,kdmtscl00168
34.02391417,131.8827608,kdmtscl00169
34.02371389,131.8822708,kdmtscl00170
34.02256528,131.8833058,kdmtscl00171
34.01395139,131.859665,kdmtscl00172
34.01419528,131.8594633,kdmtscl00173
34.01437667,131.8596547,kdmtscl00174
34.00096944,131.8766192,kdmtscl00175
33.99931306,131.8776558,kdmtscl00176
33.9996425,131.8754186,kdmtscl00177
34.04255556,131.8833481,kdmtscl00178
34.10258306,131.8772961,kdmtscl00179
34.10141083,131.8857817,kdmtscl00180
34.10101778,131.8856183,kdmtscl00181
34.10038861,131.8854603,kdmtscl00182
34.04389111,131.8733381,kdmtscl00183
34.04362583,131.8733156,kdmtscl00184
34.0432075,131.8743703,kdmtscl00185
34.04330194,131.8739667,kdmtscl00186
34.04346694,131.8750828,kdmtscl00187
34.03798389,131.8728744,kdmtscl00188
34.03489694,131.8720333,kdmtscl00189
34.06107778,131.890625,kdmtscl00190
34.03642306,131.9197547,kdmtscl00191
34.02823,131.8706169,kdmtscl00192
34.02593417,131.8457997,kdmtscl00193
34.02625194,131.8448372,kdmtscl00194
34.01888,131.8431272,kdmtscl00195
34.03894722,131.8793011,kdmtscl00196
34.03474194,131.8735344,kdmtscl00197
34.08470528,131.8799414,kdmtscl00198
34.08436944,131.8800003,kdmtscl00199
34.02661639,131.8652311,kdmtscl00200
34.02806139,131.8635228,kdmtscl00201
34.03530333,131.8939264,kdmtscl00202
34.01663861,131.870605,kdmtscl00203
34.01681861,131.8701308,kdmtscl00204
34.01688917,131.8706547,kdmtscl00205
34.01659694,131.8701125,kdmtscl00206
34.016375,131.8706786,kdmtscl00207
34.01013806,131.8626058,kdmtscl00208
34.01032111,131.8629697,kdmtscl00209
34.01056778,131.8625519,kdmtscl00210
34.01073,131.8623031,kdmtscl00211
34.0279,131.8961222,kdmtscl00212
34.02616222,131.8975133,kdmtscl00213
34.02688806,131.8979756,kdmtscl00214
34.02814722,131.8964706,kdmtscl00215
34.02809667,131.8962006,kdmtscl00216
34.02782194,131.8966008,kdmtscl00217
34.01992778,131.9189975,kdmtscl00218
34.01891583,131.8484669,kdmtscl00219
34.01890528,131.8489531,kdmtscl00220
34.02052556,131.8459886,kdmtscl00221
34.00097583,131.8749283,kdmtscl00222
33.9998825,131.8752519,kdmtscl00223
34.00005306,131.8791517,kdmtscl00224
34.02626972,131.8664964,kdmtscl00225
34.02527833,131.8661878,kdmtscl00226
34.04798972,131.9191222,kdmtscl00227
34.04322833,131.9212069,kdmtscl00228
34.03113111,131.9248672,kdmtscl00229
34.03174972,131.9274019,kdmtscl00230
34.03147806,131.9286906,kdmtscl00231
34.03736833,131.8880181,kdmtscl00232
34.03824111,131.8882328,kdmtscl00233
34.03801,131.8874692,kdmtscl00234
34.03814194,131.8869692,kdmtscl00235
34.03694139,131.8763317,kdmtscl00236
34.03659389,131.8767617,kdmtscl00237
34.02056778,131.8575636,kdmtscl00238
34.02141583,131.8575647,kdmtscl00239
34.02312556,131.8589936,kdmtscl00240
34.02449972,131.8602133,kdmtscl00241
34.02581417,131.8623478,kdmtscl00242
34.02642333,131.8605644,kdmtscl00243
34.02211167,131.856545,kdmtscl00244
34.025135,131.8578261,kdmtscl00245
34.02531806,131.8580522,kdmtscl00246
34.02562167,131.8575883,kdmtscl00247
34.02651472,131.8591258,kdmtscl00248
34.02693917,131.8587486,kdmtscl00249
34.02386333,131.855265,kdmtscl00250
34.0238,131.8530989,kdmtscl00251
34.02728222,131.8567711,kdmtscl00252
34.02348,131.8578847,kdmtscl00253
34.01410222,131.8710697,kdmtscl00254
34.01378694,131.8713372,kdmtscl00255
34.01340972,131.8707258,kdmtscl00256
34.01312056,131.87142,kdmtscl00257
34.01317083,131.8702522,kdmtscl00258
34.01299722,131.8691475,kdmtscl00259
34.01295,131.86977,kdmtscl00260
34.01275417,131.8693275,kdmtscl00261
34.01261472,131.8691678,kdmtscl00262
34.01267139,131.8686042,kdmtscl00263
34.01255222,131.8698247,kdmtscl00264
34.01239639,131.8695208,kdmtscl00265
34.01227806,131.8700064,kdmtscl00266
34.01218917,131.869705,kdmtscl00267
34.01211278,131.8693814,kdmtscl00268
34.01208028,131.8699175,kdmtscl00269
34.01183389,131.8699708,kdmtscl00270
34.01196722,131.8694814,kdmtscl00271
34.01165333,131.8695572,kdmtscl00272
34.01924917,131.8438486,kdmtscl00273
34.01903333,131.8434333,kdmtscl00274
34.01863833,131.8422247,kdmtscl00275
34.01320056,131.8689778,kdmtscl00276
34.0349925,131.8959611,kdmtscl00277
34.03868472,131.8968344,kdmtscl00278
34.03829222,131.8964358,kdmtscl00279
34.01737694,131.8823158,kdmtscl00280
34.102045,131.8768192,kdmtscl00281
34.10100806,131.8773642,kdmtscl00282
34.03862861,131.8838822,kdmtscl00283
34.03815639,131.8836583,kdmtscl00284
34.03867056,131.8699508,kdmtscl00285
34.03784083,131.8701131,kdmtscl00286
34.01736972,131.88186,kdmtscl00287
34.01697778,131.8823136,kdmtscl00288
34.01718861,131.8658003,kdmtscl00289
34.01691528,131.8664675,kdmtscl00290
34.01666167,131.8661578,kdmtscl00291
34.01622111,131.8658392,kdmtscl00292
34.01866028,131.8837408,kdmtscl00293
34.01778056,131.8848419,kdmtscl00294
34.01569861,131.8851669,kdmtscl00295
34.01447083,131.8865072,kdmtscl00296
34.02820556,131.90283,kdmtscl00297
34.02660417,131.8669261,kdmtscl00298
34.027845,131.8709047,kdmtscl00299
34.02804639,131.8574783,kdmtscl00300
34.02742361,131.8578419,kdmtscl00301
34.03296611,131.8651653,kdmtscl00302
34.02707083,131.8970522,kdmtscl00303
34.015165,131.8654167,kdmtscl00304
34.01508917,131.8783317,kdmtscl00305
34.03286944,131.8676636,kdmtscl00306
33.96806333,131.8477783,kdmtscl00307
34.10407889,131.8922183,kdmtscl00308
34.10151639,131.8908939,kdmtscl00309
34.0372,131.8821183,kdmtscl00310
34.03946333,131.8807908,kdmtscl00311
34.04009667,131.8808408,kdmtscl00312
34.04007639,131.8812258,kdmtscl00313
34.03583361,131.8779786,kdmtscl00314
34.03567944,131.8783539,kdmtscl00315
34.01284083,131.8756542,kdmtscl00316
34.01238028,131.8753206,kdmtscl00317
34.02446472,131.8957486,kdmtscl00318
34.02486389,131.8957622,kdmtscl00319
34.02416194,131.8930839,kdmtscl00320
34.0238675,131.8920367,kdmtscl00321
34.0247525,131.8954436,kdmtscl00322
34.01375667,131.8610022,kdmtscl00323
34.01474472,131.8617592,kdmtscl00324
34.10285583,131.8821086,kdmtscl00325
34.02917861,131.9079094,kdmtscl00326
34.02918,131.9082869,kdmtscl00327
34.02940722,131.9087183,kdmtscl00328
34.04247722,131.8797689,kdmtscl00329
34.01928028,131.9311131,kdmtscl00330
34.02064583,131.9275456,kdmtscl00331
34.01891361,131.9301581,kdmtscl00332
34.0203975,131.9295094,kdmtscl00333
34.00651194,131.8708461,kdmtscl00334
34.02103083,131.9300208,kdmtscl00335
34.02691639,131.9011431,kdmtscl00336
34.02425556,131.8661764,kdmtscl00337
34.02377694,131.8655117,kdmtscl00338
34.00406056,131.8750261,kdmtscl00339
34.04015139,131.8655014,kdmtscl00340
34.03966889,131.8664789,kdmtscl00341
34.00831778,131.86817,kdmtscl00342
34.01455389,131.8719422,kdmtscl00343
34.01786306,131.8568161,kdmtscl00344
34.02509389,131.8644306,kdmtscl00345
34.03101111,131.9186,kdmtscl00346
34.02907528,131.8628956,kdmtscl00347
34.02862944,131.8644275,kdmtscl00348
34.02830444,131.8641503,kdmtscl00349
34.02836278,131.8630481,kdmtscl00350
34.02738611,131.8644464,kdmtscl00351
34.02711972,131.8640806,kdmtscl00352
34.02701417,131.8638303,kdmtscl00353
34.02659667,131.8635978,kdmtscl00354
34.02715444,131.8668014,kdmtscl00355
34.02687806,131.8664167,kdmtscl00356
34.02650222,131.8661889,kdmtscl00357
34.02608611,131.8661264,kdmtscl00358
34.02565,131.8660164,kdmtscl00359
34.02482,131.8648639,kdmtscl00360
34.02534444,131.8640806,kdmtscl00361
34.02870056,131.8625303,kdmtscl00362
34.02776167,131.8640067,kdmtscl00363
34.02839167,131.8670042,kdmtscl00364
34.02770083,131.86617,kdmtscl00365
34.02728056,131.8657903,kdmtscl00366
34.02687139,131.8654703,kdmtscl00367
34.03771,131.8802736,kdmtscl00368
33.9443575,131.8269464,kdmtscl00369
33.95387361,131.8382489,kdmtscl00370
33.94755333,131.8313114,kdmtscl00371
34.03121361,131.8984894,kdmtscl00372
34.03119111,131.8979917,kdmtscl00373
34.03069528,131.8974272,kdmtscl00374
34.03041361,131.8977306,kdmtscl00375
34.03076611,131.8978817,kdmtscl00376
34.02796778,131.8589756,kdmtscl00377
34.02770222,131.8573811,kdmtscl00378
34.0284525,131.8578794,kdmtscl00379
34.04400722,131.9092147,kdmtscl00380
34.04276306,131.9071647,kdmtscl00381
34.04676694,131.9125656,kdmtscl00382
34.04588222,131.9117706,kdmtscl00383
34.03942917,131.8975603,kdmtscl00384
34.03563361,131.8954394,kdmtscl00385
34.03392167,131.8970711,kdmtscl00386
34.03967333,131.9063197,kdmtscl00387
34.03833778,131.9055903,kdmtscl00388
34.03755556,131.9048914,kdmtscl00389
34.03095944,131.8988317,kdmtscl00390
34.03075889,131.8986433,kdmtscl00391
34.03094361,131.8983219,kdmtscl00392
34.03029056,131.8986194,kdmtscl00393
34.03025444,131.8980656,kdmtscl00394
34.03006028,131.8972294,kdmtscl00395
34.02983167,131.8967147,kdmtscl00396
34.02644389,131.8560828,kdmtscl00397
34.02608306,131.8558064,kdmtscl00398
34.02566722,131.8553814,kdmtscl00399
34.02394611,131.858415,kdmtscl00400
34.0212775,131.85633,kdmtscl00401
34.02107917,131.8566647,kdmtscl00402
34.02082083,131.8571172,kdmtscl00403
34.01764917,131.8574986,kdmtscl00404
34.01690639,131.8571128,kdmtscl00405
34.01599583,131.8586897,kdmtscl00406
34.0304725,131.8684986,kdmtscl00407
34.03759861,131.8887117,kdmtscl00408
34.10314611,131.8836003,kdmtscl00409
34.10227694,131.8824519,kdmtscl00410
34.00795167,131.8636944,kdmtscl00411
34.00778417,131.8631658,kdmtscl00412
34.00717306,131.8630306,kdmtscl00413
34.00704,131.8626858,kdmtscl00414
34.01840889,131.8438075,kdmtscl00415
34.01804056,131.8441386,kdmtscl00416
34.02293194,131.8953261,kdmtscl00417
34.0234175,131.8828936,kdmtscl00418
34.02204583,131.8828647,kdmtscl00419
33.96187556,131.8515708,kdmtscl00420
34.03412333,131.8702161,kdmtscl00421
34.0109875,131.8618319,kdmtscl00422
34.00812,131.8610075,kdmtscl00423
34.00781444,131.8616222,kdmtscl00424
34.02948556,131.8651689,kdmtscl00425
34.02847389,131.8677286,kdmtscl00426
34.0277575,131.8676864,kdmtscl00427
34.02297833,131.8597092,kdmtscl00428
34.01370944,131.8581861,kdmtscl00429
34.02037194,131.8534,kdmtscl00430
34.01978111,131.8506894,kdmtscl00431
34.01924722,131.85163,kdmtscl00432
34.01921361,131.8509767,kdmtscl00433
34.01914194,131.8513739,kdmtscl00434
34.01906944,131.8518175,kdmtscl00435
34.01900361,131.8520342,kdmtscl00436
34.01841389,131.8540714,kdmtscl00437
34.01193389,131.8669742,kdmtscl00438
34.01164722,131.8664967,kdmtscl00439
34.01135194,131.8668939,kdmtscl00440
34.01138528,131.8670925,kdmtscl00441
34.01155583,131.8672614,kdmtscl00442
34.01201889,131.8673825,kdmtscl00443
34.01104333,131.8664369,kdmtscl00444
34.01111278,131.8673317,kdmtscl00445
34.01131417,131.8677014,kdmtscl00446
34.01122917,131.8679717,kdmtscl00447
34.0107775,131.8676961,kdmtscl00448
34.01056806,131.8689053,kdmtscl00449
34.0181775,131.8772714,kdmtscl00450
34.01871944,131.8777492,kdmtscl00451
34.01961222,131.8770442,kdmtscl00452
34.01951861,131.8773839,kdmtscl00453
34.03277333,131.9068922,kdmtscl00454
34.0117625,131.8685614,kdmtscl00455
34.01149944,131.8685764,kdmtscl00456
34.01179278,131.8677536,kdmtscl00457
34.01188361,131.8680639,kdmtscl00458
34.01206444,131.8683911,kdmtscl00459
34.01158056,131.8681764,kdmtscl00460
34.10641806,131.8892986,kdmtscl00461
34.00936972,131.8625194,kdmtscl00462
33.95293056,131.8364278,kdmtscl00463
34.01862278,131.8500919,kdmtscl00464
34.01842861,131.8505233,kdmtscl00465
34.03845028,131.865815,kdmtscl00466
34.04084972,131.8821583,kdmtscl00467
34.04054028,131.8820875,kdmtscl00468
34.03894,131.8820994,kdmtscl00469
34.03767083,131.8821025,kdmtscl00470
34.03975167,131.8815786,kdmtscl00471
34.03942083,131.8815594,kdmtscl00472
34.04101972,131.881455,kdmtscl00473
34.0399975,131.8815233,kdmtscl00474
34.03823,131.8813775,kdmtscl00475
34.038655,131.8802611,kdmtscl00476
34.02047528,131.905675,kdmtscl00477
34.01176611,131.9124744,kdmtscl00478
34.00995222,131.9126386,kdmtscl00479
34.00797,131.9125483,kdmtscl00480
34.01976472,131.8454008,kdmtscl00481
34.04139972,131.88004,kdmtscl00482
34.02362083,131.8593997,kdmtscl00483
34.02305056,131.8558825,kdmtscl00484
34.02247667,131.8553189,kdmtscl00485
34.02339278,131.8644031,kdmtscl00486
34.03647806,131.8957347,kdmtscl00487
34.02659278,131.8995919,kdmtscl00488
34.02636528,131.8997431,kdmtscl00489
34.02610194,131.8998619,kdmtscl00490
34.02440472,131.8595333,kdmtscl00491
34.02043361,131.8566189,kdmtscl00492
34.04064333,131.8643161,kdmtscl00493
34.0350775,131.8722708,kdmtscl00494
34.05672389,131.9202222,kdmtscl00495
34.05712889,131.9215942,kdmtscl00496
34.01120278,131.8660006,kdmtscl00497
34.0847525,131.880345,kdmtscl00498
34.0852975,131.8800761,kdmtscl00499
34.08569833,131.8801317,kdmtscl00500
34.08660972,131.8719383,kdmtscl00501
34.08746889,131.8765064,kdmtscl00502
34.08666556,131.8762628,kdmtscl00503
34.08513194,131.8765753,kdmtscl00504
34.08731444,131.8753756,kdmtscl00505
34.02086972,131.8763631,kdmtscl00506
34.02151417,131.8763681,kdmtscl00507
34.01810278,131.8780281,kdmtscl00508
34.01652111,131.8788564,kdmtscl00509
34.0145225,131.8785267,kdmtscl00510
34.03720583,131.8707947,kdmtscl00511
34.02523389,131.8939661,kdmtscl00512
34.0153775,131.8732319,kdmtscl00513
34.01493889,131.8724736,kdmtscl00514
34.01474556,131.8725408,kdmtscl00515
34.01474028,131.8720447,kdmtscl00516
34.01405111,131.8715589,kdmtscl00517
34.01384583,131.8714275,kdmtscl00518
34.01632222,131.8755667,kdmtscl00519
34.01614889,131.8751081,kdmtscl00520
34.01604611,131.8753819,kdmtscl00521
34.01583972,131.8756317,kdmtscl00522
34.01559194,131.8760742,kdmtscl00523
34.01529972,131.8767567,kdmtscl00524
34.01520528,131.8764667,kdmtscl00525
34.01514472,131.8752167,kdmtscl00526
34.00398889,131.8753969,kdmtscl00527
34.00202639,131.8734472,kdmtscl00528
34.003295,131.8759053,kdmtscl00529
34.01576694,131.8694014,kdmtscl00530
34.0077775,131.8734197,kdmtscl00531
34.00699528,131.8740194,kdmtscl00532
34.00733028,131.8750122,kdmtscl00533
34.00564028,131.8753103,kdmtscl00534
34.00528861,131.8762906,kdmtscl00535
34.00604639,131.8771792,kdmtscl00536
34.00650444,131.8775533,kdmtscl00537
34.00693472,131.8779992,kdmtscl00538
34.00700639,131.8783042,kdmtscl00539
34.00734722,131.8790367,kdmtscl00540
34.00692861,131.8806056,kdmtscl00541
34.01363917,131.8720781,kdmtscl00542
34.01329556,131.8726319,kdmtscl00543
34.01290472,131.8722744,kdmtscl00544
34.01247167,131.8720719,kdmtscl00545
34.01224528,131.8720658,kdmtscl00546
34.02057417,131.8568964,kdmtscl00547
34.02598,131.8629256,kdmtscl00548
34.01758722,131.8503492,kdmtscl00549
34.00190444,131.8743908,kdmtscl00550
34.00176444,131.8741208,kdmtscl00551
34.02079667,131.8594025,kdmtscl00552
34.02119528,131.8588083,kdmtscl00553
34.00772194,131.8741406,kdmtscl00554
34.00685028,131.8799442,kdmtscl00555
34.00707472,131.8794367,kdmtscl00556
34.08572278,131.8809925,kdmtscl00557
34.08528694,131.8808078,kdmtscl00558
34.08502611,131.8806028,kdmtscl00559
34.08549444,131.8810275,kdmtscl00560
34.02241361,131.8854994,kdmtscl00561
34.02902556,131.8687183,kdmtscl00562
34.03088778,131.9011603,kdmtscl00563
34.0300775,131.9039275,kdmtscl00564
34.02979944,131.909225,kdmtscl00565
34.03024556,131.9096367,kdmtscl00566
34.02942722,131.9051478,kdmtscl00567
34.02926667,131.9046653,kdmtscl00568
34.02756694,131.90136,kdmtscl00569
34.01891528,131.8834486,kdmtscl00570
34.03216528,131.9181328,kdmtscl00571
34.02207028,131.8833536,kdmtscl00572
34.03102611,131.8995456,kdmtscl00573
34.03057806,131.8991817,kdmtscl00574
34.03095472,131.9006342,kdmtscl00575
34.03104139,131.8976344,kdmtscl00576
34.03004444,131.8983356,kdmtscl00577
34.0295075,131.8974619,kdmtscl00578
34.00769611,131.8710747,kdmtscl00579
34.00759806,131.871725,kdmtscl00580
34.02125917,131.8638917,kdmtscl00581
34.03526639,131.9084536,kdmtscl00582
34.03936167,131.8751342,kdmtscl00583
34.03876583,131.8746681,kdmtscl00584
34.00729861,131.8806078,kdmtscl00585
34.00706639,131.8746047,kdmtscl00586
34.01791833,131.9183739,kdmtscl00587
34.01705139,131.919255,kdmtscl00588
34.04139389,131.878075,kdmtscl00589
34.0391125,131.8779111,kdmtscl00590
34.03560083,131.8677547,kdmtscl00591
34.03417361,131.8599894,kdmtscl00592
34.03423167,131.8592344,kdmtscl00593
34.03621889,131.8896064,kdmtscl00594
34.0365025,131.8907639,kdmtscl00595
34.00661028,131.8742008,kdmtscl00596
34.02770528,131.8601606,kdmtscl00597
34.00756,131.8620569,kdmtscl00598
34.04071167,131.8693469,kdmtscl00599
34.01223333,131.8625319,kdmtscl00600
34.0124725,131.8625194,kdmtscl00601
34.01240194,131.8630217,kdmtscl00602
34.01216444,131.8630106,kdmtscl00603
34.01187722,131.8626969,kdmtscl00604
34.01879944,131.8493703,kdmtscl00605
34.01953694,131.8540203,kdmtscl00606
34.01789472,131.8547364,kdmtscl00607
34.01752361,131.8544225,kdmtscl00608
34.0353875,131.8704472,kdmtscl00609
34.03543889,131.8699344,kdmtscl00610
33.97810556,131.8659119,kdmtscl00611
33.97756833,131.8666528,kdmtscl00612
33.97726528,131.8665528,kdmtscl00613
33.97742611,131.8670742,kdmtscl00614
33.97762444,131.8686103,kdmtscl00615
34.0084375,131.8606408,kdmtscl00616
34.02900139,131.8599472,kdmtscl00617
34.02882528,131.8604806,kdmtscl00618
34.03227083,131.8597994,kdmtscl00619
34.03212528,131.8618706,kdmtscl00620
34.00453222,131.8715922,kdmtscl00621
34.023785,131.8537736,kdmtscl00622
34.02335778,131.8531942,kdmtscl00623
34.01787222,131.8559461,kdmtscl00624
34.01615722,131.8566478,kdmtscl00625
34.03396083,131.8710122,kdmtscl00626
34.03386917,131.8719831,kdmtscl00627
34.03400111,131.8726456,kdmtscl00628
34.03361444,131.8733256,kdmtscl00629
34.0272875,131.8465494,kdmtscl00630
34.0218475,131.8492017,kdmtscl00631
34.0261425,131.8485267,kdmtscl00632
34.02550194,131.8495956,kdmtscl00633
34.02616083,131.8500942,kdmtscl00634
34.02911222,131.8605156,kdmtscl00635
34.02863667,131.8595719,kdmtscl00636
34.00561194,131.9124525,kdmtscl00637
34.02557861,131.8677361,kdmtscl00638
34.01724167,131.9325219,kdmtscl00639
34.01743694,131.9311819,kdmtscl00640
34.02092194,131.8710772,kdmtscl00641
34.02074306,131.8715072,kdmtscl00642
34.02022,131.8709997,kdmtscl00643
34.02005833,131.8717994,kdmtscl00644
34.03911667,131.8803036,kdmtscl00645
34.03941139,131.8802036,kdmtscl00646
34.00789194,131.8622906,kdmtscl00647
34.00752833,131.8623556,kdmtscl00648
33.95453222,131.8366839,kdmtscl00649
34.03816917,131.8541222,kdmtscl00650
34.03621056,131.8516028,kdmtscl00651
34.03465889,131.8506092,kdmtscl00652
34.03416944,131.8502778,kdmtscl00653
34.03337833,131.8668297,kdmtscl00654
34.03915111,131.8898961,kdmtscl00655
34.03902278,131.8903189,kdmtscl00656
34.03887194,131.8908217,kdmtscl00657
34.03847722,131.8903503,kdmtscl00658
34.0458025,131.8689519,kdmtscl00659
34.02901389,131.9109283,kdmtscl00660
34.02882361,131.9115258,kdmtscl00661
34.02118167,131.8573183,kdmtscl00662
34.03562444,131.8669247,kdmtscl00663
34.02435833,131.8671089,kdmtscl00664
34.02194417,131.8535328,kdmtscl00665
34.01776972,131.8534056,kdmtscl00666
34.00930444,131.8669381,kdmtscl00667
34.00953222,131.8667481,kdmtscl00668
