city,cluster,scenario,candidate,family,replicate,candidate_weight,feasible,issues,mv_drop_pct,lv_drop_pct,transformer_drop_pct,customer_min_pu,customer_max_pu,mv_loading_pct,transformer_loading_pct,power_balance_kw,npc_jpy,length_m,capex_trench_jpy,capex_conductor_jpy,capex_transformer_jpy,variable_loss_kwh_y,no_load_loss_kwh_y,conductor_inventory_json
yasu,21,S2_candidate,weight=30,weighted_steiner,-1,30.0,True,,0.12776534994346742,0.8732888445923204,1.7879753709586304,0.974104476884637,0.9891688674450753,32.56675606833412,79.15960047841041,1.7763568394002505e-15,197056475.44052556,358.6133344401336,106292000.16602004,7260139.091224328,25317786.778010875,10519.263919362598,6850.320000000001,"{""LV:100"":75.0,""LV:150"":200.0,""LV:60"":75.0,""MV:38"":358.61333444}"
yasu,21,S2_candidate,weight=100,weighted_steiner,-1,100.0,True,,0.12776534994346742,0.8732888445923204,1.7879753709586304,0.974104476884637,0.9891688674450753,32.56675606833412,79.15960047841041,1.7763568394002505e-15,197056475.44052556,358.6133344401336,106292000.16602004,7260139.091224328,25317786.778010875,10519.263919362598,6850.320000000001,"{""LV:100"":75.0,""LV:150"":200.0,""LV:60"":75.0,""MV:38"":358.61333444}"
yasu,21,S2_candidate,weight=300,weighted_steiner,-1,300.0,True,,0.12776534994346742,0.8732888445923204,1.7879753709586304,0.974104476884637,0.9891688674450753,32.56675606833412,79.15960047841041,1.7763568394002505e-15,197056475.44052556,358.6133344401336,106292000.16602004,7260139.091224328,25317786.778010875,10519.263919362598,6850.320000000001,"{""LV:100"":75.0,""LV:150"":200.0,""LV:60"":75.0,""MV:38"":358.61333444}"
yasu,22,S1,c022_r00_A_steiner.csv,A_steiner,0,,True,,0.10902799368273697,0.8189987858589343,1.7351215917741076,0.9742429854178846,0.9836946241612806,24.479612597188126,76.81958835521337,3.623767952376511e-13,507796460.0336303,650.5165748845639,243827486.23268458,27962914.372114096,80501033.31022832,36360.18780335653,21365.639999999996,"{""LV:150"":975.0,""MV:150"":650.516574885}"
yasu,22,S1,c022_r01_A_steiner.csv,A_steiner,1,,True,,0.10902799368273697,0.8189987858589343,1.7351215917741076,0.9742429854178846,0.9836946241612806,24.479612597188126,76.81958835521337,3.623767952376511e-13,507796460.0336303,650.5165748845639,243827486.23268458,27962914.372114096,80501033.31022832,36360.18780335653,21365.639999999996,"{""LV:150"":975.0,""MV:150"":650.516574885}"
yasu,22,S1,c022_r02_A_steiner.csv,A_steiner,2,,True,,0.10902799368273697,0.8189987858589343,1.7351215917741076,0.9742429854178846,0.9836946241612806,24.479612597188126,76.81958835521337,3.623767952376511e-13,507796460.0336303,650.5165748845639,243827486.23268458,27962914.372114096,80501033.31022832,36360.18780335653,21365.639999999996,"{""LV:150"":975.0,""MV:150"":650.516574885}"
yasu,22,S1,c022_r03_A_steiner.csv,A_steiner,3,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
yasu,22,S1,c022_r04_A_steiner.csv,A_steiner,4,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
yasu,22,S1,c022_r05_A_steiner.csv,A_steiner,5,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
yasu,22,S1,c022_r06_A_steiner.csv,A_steiner,6,,True,,0.1519938844242764,0.8189987858589343,1.7351215917741076,0.9738133265104693,0.9833654535529778,35.58705440188819,76.81958835521337,2.6290081223123707e-13,504691045.83323777,635.9504606825942,241642569.10238913,27598761.51706486,80501033.31022832,36926.87884782056,21365.639999999996,"{""LV:150"":975.0,""MV:150"":635.950460683}"
