city,cluster,rep,family,src,edges,length_m,terminals,raw_kw
sano,18,1,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,2,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,3,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,4,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,5,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,6,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,7,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,8,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,9,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,10,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,11,A_steiner,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,12,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,13,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,14,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,15,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,16,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,17,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,18,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,19,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,20,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,21,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,22,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,18,23,B_incremental,6145.0,1,19.9297315179145,2,42.45140675307432
sano,20,0,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,1,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,2,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,3,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,4,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,5,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,6,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,7,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,8,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,9,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,10,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,11,A_steiner,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,12,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,13,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,14,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,15,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,16,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,17,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,18,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,19,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,20,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,21,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,22,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,20,23,B_incremental,1692.0,1,34.67709593532032,2,161.38555086305496
sano,22,0,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,1,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,2,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,3,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,4,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,5,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,6,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,7,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,8,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,9,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,10,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,11,A_steiner,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,12,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,13,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,14,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,15,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,16,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,17,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,18,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,19,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,20,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,21,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,22,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,22,23,B_incremental,1648.0,1,24.23863817881941,2,138.2393842889484
sano,23,0,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,1,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,2,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,3,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,4,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,5,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,6,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,7,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,8,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,9,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,10,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,11,A_steiner,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,12,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,13,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,14,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,15,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,16,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,17,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,18,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,19,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,20,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,21,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,22,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,23,23,B_incremental,3788.0,1,29.871333901810157,2,80.96012984500842
sano,24,0,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,1,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,2,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,3,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,4,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,5,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,6,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,7,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,8,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,9,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,10,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,11,A_steiner,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,12,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,13,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,14,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,15,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,16,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,17,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,18,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,19,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,20,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,21,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,22,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,24,23,B_incremental,1680.0,3,234.2533218398101,2,172.21205359113947
sano,26,0,A_steiner,5555.0,1,35.226254665826914,2,143.85411723083396
sano,26,1,A_steiner,5555.0,1,35.226254665826914,2,143.85411723083396
sano,26,2,A_steiner,5555.0,1,35.226254665826914,2,143.85411723083396
sano,26,3,A_steiner,5555.0,1,35.226254665826914,2,143.85411723083396
