key,value,unit,source,epistemic_label
kudamatsu_combined_screening_savings_pct,5.811673255736015,%,analysis/scenario_results.csv,modeled
kudamatsu_s1_plkw,296.72297149305814,kW,analysis/scenario_results.csv,modeled
kudamatsu_s2_plkw,329.7522894763506,kW,analysis/scenario_results.csv,modeled
kudamatsu_max_mv_vdrop_pct,0.5931315347040365,%,analysis/scenario_results.csv,modeled
kudamatsu_min_customer_voltage_pu,0.9700070578686116,pu,analysis/scenario_results.csv,modeled
kudamatsu_mean_edge_set_divergence,0.0246305418719211,fraction,analysis/scenario_results.csv,modeled
kudamatsu_cluster_positive_fraction,1.0,fraction,analysis/scenario_results.csv,conditional diagnostic
kudamatsu_peak_loss_change_pct,11.131365332820264,%,analysis/scenario_results.csv,modeled
kudamatsu_frequency_hz,60,Hz,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed engineering parameter
yasu_clusters,57,count,analysis/scenario_results.csv,modeled
yasu_total_demand_kw,20012.79366485227,kW,analysis/scenario_results.csv,modeled
yasu_transformer_sites,332,count,analysis/scenario_results.csv,modeled
yasu_transformer_units,748,count,analysis/scenario_results.csv,modeled
yasu_s1_npc,11930105609.347654,JPY,analysis/scenario_results.csv,modeled
yasu_s15_npc,11912103132.063795,JPY,analysis/scenario_results.csv,modeled
yasu_s2_npc,11397250319.899416,JPY,analysis/scenario_results.csv,modeled
yasu_delta_npc,532855289.4482381,JPY,analysis/scenario_results.csv,modeled
yasu_routing_policy_delta_npc,18002477.283858262,JPY,analysis/scenario_results.csv,modeled
yasu_routing_policy_savings_pct,0.1508995634519169,%,analysis/scenario_results.csv,modeled
yasu_combined_screening_savings_pct,4.466475879565789,%,analysis/scenario_results.csv,modeled
yasu_s1_plkw,343.46497532786634,kW,analysis/scenario_results.csv,modeled
yasu_s2_plkw,377.25876169806565,kW,analysis/scenario_results.csv,modeled
yasu_max_mv_vdrop_pct,0.4325907138227745,%,analysis/scenario_results.csv,modeled
yasu_min_customer_voltage_pu,0.9710073582164842,pu,analysis/scenario_results.csv,modeled
yasu_mean_edge_set_divergence,0.0350877192982456,fraction,analysis/scenario_results.csv,modeled
yasu_cluster_positive_fraction,0.9824561403508772,fraction,analysis/scenario_results.csv,conditional diagnostic
yasu_peak_loss_change_pct,9.839077867529378,%,analysis/scenario_results.csv,modeled
yasu_frequency_hz,60,Hz,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed engineering parameter
sano_sampling_npc_savings_mean,575624297.6713687,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_npc_savings_median,577566715.9061775,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_npc_savings_p2_5,-505145869.3886213,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_npc_savings_p97_5,1721255459.5459616,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_combined_savings_pct_mean,1.9408932783849424,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_combined_savings_pct_p2_5,-1.218540384405527,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_combined_savings_pct_p97_5,6.210361544730072,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_positive_draw_frequency,0.8246,conditional frequency,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
sano_sampling_n_draws,5000,draws,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_npc_savings_mean,655606563.7636992,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_npc_savings_median,653656413.9939308,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_npc_savings_p2_5,-110445036.82176971,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_npc_savings_p97_5,1492930918.1398616,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_combined_savings_pct_mean,3.936003025099497,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_combined_savings_pct_p2_5,-0.5039010091357081,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_combined_savings_pct_p97_5,10.08811385609358,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_positive_draw_frequency,0.9432,conditional frequency,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_sampling_n_draws,5000,draws,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_npc_savings_mean,281512205.7154857,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_npc_savings_median,322700761.05445576,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_npc_savings_p2_5,-401593965.2850202,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_npc_savings_p97_5,858653818.174828,JPY,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_combined_savings_pct_mean,2.218797075513343,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_combined_savings_pct_p2_5,-2.2811161163853786,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_combined_savings_pct_p97_5,7.289283590373877,%,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_positive_draw_frequency,0.7838,conditional frequency,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
yasu_sampling_n_draws,5000,draws,analysis/sensitivity_mc.csv,conditional scenario sampling; frozen designs
kudamatsu_routing_policy_shapley_savings_jpy,32833712.908664703,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
kudamatsu_conductor_shapley_savings_jpy,800975324.1892719,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
kudamatsu_routing_conductor_interaction_jpy,2936814.590270996,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
kudamatsu_transformer_variation_savings_jpy,0.0,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
sano_routing_policy_shapley_savings_jpy,17728487.312908173,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
sano_conductor_shapley_savings_jpy,979083865.5591544,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
sano_routing_conductor_interaction_jpy,1734741.7042388916,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
sano_transformer_variation_savings_jpy,0.0,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
yasu_routing_policy_shapley_savings_jpy,5189677.146838188,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
yasu_conductor_shapley_savings_jpy,471746175.0492506,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
yasu_routing_conductor_interaction_jpy,2094324.3958301544,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
yasu_transformer_variation_savings_jpy,0.0,JPY,analysis/ablation_decomposition.csv,paired policy-screening attribution
sano_component_routing_excavation_jpy,44183241.962930255,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
sano_component_conductors_jpy,1072363478.1620132,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
sano_component_transformers_jpy,0.0,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
sano_component_variable_technical_losses_jpy,-86996302.17906857,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
sano_component_transformer_no-load_losses_jpy,0.0,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
sano_component_rounding_selection_interaction_residual_jpy,-1.5497207641601562e-06,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
kudamatsu_component_routing_excavation_jpy,72123949.68019517,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
kudamatsu_component_conductors_jpy,841131396.6655325,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
kudamatsu_component_transformers_jpy,0.0,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
kudamatsu_component_variable_technical_losses_jpy,-31893184.194753304,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
kudamatsu_component_transformer_no-load_losses_jpy,0.0,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
kudamatsu_component_rounding_selection_interaction_residual_jpy,-1.1920928955078125e-07,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
yasu_component_routing_excavation_jpy,56970491.313845545,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
yasu_component_conductors_jpy,508516154.7336451,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
yasu_component_transformers_jpy,0.0,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
yasu_component_variable_technical_losses_jpy,-32631356.599252235,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
yasu_component_transformer_no-load_losses_jpy,0.0,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
yasu_component_rounding_selection_interaction_residual_jpy,-2.980232238769531e-07,JPY,analysis/component_decomposition.csv,accounting decomposition; non-causal
sano_rows,9519,records,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
sano_duplicate_extra_records,370.0,records,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
sano_multi_record_identifier_groups,322.0,groups,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
sano_maximum_records_per_identifier,6.0,records,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
sano_evidence_tier,pole-ID-linked light inventory,,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
kudamatsu_rows,4227,records,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
kudamatsu_duplicate_extra_records,0.0,records,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
kudamatsu_multi_record_identifier_groups,0.0,groups,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
kudamatsu_maximum_records_per_identifier,1.0,records,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
kudamatsu_evidence_tier,geolocated light anchors without pole linkage,,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
yasu_rows,0,records,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
yasu_evidence_tier,roads/buildings only,,MUNICIPAL_DATA_PROVENANCE_AUDIT.csv,observed
benchmark_max_voltage_error_pu,0.0025569257079675,pu,analysis/benchmark_radial_comparison.csv,benchmark
benchmark_max_loss_relative_error,0.0741269926156946,fraction,analysis/benchmark_radial_comparison.csv,benchmark
benchmark_feeders_validated,3,count,analysis/benchmark_radial_comparison.csv,benchmark
benchmark_voltage_tolerance_pu,0.003,pu,analysis/benchmark_radial_comparison.csv,predeclared benchmark gate
benchmark_loss_relative_tolerance,0.1,fraction,analysis/benchmark_radial_comparison.csv,predeclared benchmark gate
candidate_clusters_total,253,clusters,analysis/candidate_search_summary.csv,modeled search diagnostic
candidate_clusters_one_unique_route,164,clusters,analysis/candidate_search_summary.csv,modeled search diagnostic
candidate_clusters_selected_weight_zero,249,clusters,analysis/candidate_search_summary.csv,modeled search diagnostic
quarantined_original_min_voltage_drop_pct,29.159604312907657,%,audit/original_results/scenario_results.csv,quarantined original
quarantined_original_max_voltage_drop_pct,37.78303525314241,%,audit/original_results/scenario_results.csv,quarantined original
kudamatsu_reconstruction_last_change_pp,0.0116124612990642,percentage points,analysis/reconstruction_prefix_stability_summary.csv,within-ensemble diagnostic
kudamatsu_reconstruction_prefix_stability_pass,True,boolean,analysis/reconstruction_prefix_stability_summary.csv,within-ensemble diagnostic
sano_reconstruction_last_change_pp,0.0009152996780343,percentage points,analysis/reconstruction_prefix_stability_summary.csv,within-ensemble diagnostic
sano_reconstruction_prefix_stability_pass,True,boolean,analysis/reconstruction_prefix_stability_summary.csv,within-ensemble diagnostic
yasu_reconstruction_last_change_pp,0.0055676981227552,percentage points,analysis/reconstruction_prefix_stability_summary.csv,within-ensemble diagnostic
yasu_reconstruction_prefix_stability_pass,True,boolean,analysis/reconstruction_prefix_stability_summary.csv,within-ensemble diagnostic
mv_nominal_kv,6.6,kV,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
lv_nominal_v,210,V,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
service_nominal_v,105,V,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
power_factor,0.9,fraction,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
source_voltage_pu,1.0,pu,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
mv_drop_max_pct,3.0,%,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
transformer_drop_max_pct,2.5,%,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
lv_drop_max_pct,4.0,%,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
customer_min_pu,0.905,pu,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
customer_max_pu,1.019,pu,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
buried_ampacity_derating,0.65,fraction,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
design_loading_pct,80.0,%,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
maximum_loading_pct,100.0,%,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
lv_stub_length_m,25.0,m,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
max_lv_unit_kw,35.0,kW,ENGINEERING_FEASIBILITY_SPEC.yaml,assumed parameter
horizon_years,40,years,config/study.yaml,assumed parameter
discount_rate,0.03,fraction,config/study.yaml,assumed parameter
load_factor,0.35,fraction,config/study.yaml,assumed parameter
conductor_area_cost_exponent,0.65,exponent,config/study.yaml,assumed parameter
scenario_sampling_draws,5000,draws,config/study.yaml,assumed parameter
reconstruction_replicates_per_family,12,replicates,config/study.yaml,assumed parameter
sensitivity_discount_rate_min,0.01,,config/study.yaml,declared sensitivity range
sensitivity_discount_rate_max,0.05,,config/study.yaml,declared sensitivity range
sensitivity_horizon_years_min,30,,config/study.yaml,declared sensitivity range
sensitivity_horizon_years_max,50,,config/study.yaml,declared sensitivity range
sensitivity_electricity_jpy_per_kwh_min,15.0,,config/study.yaml,declared sensitivity range
sensitivity_electricity_jpy_per_kwh_max,40.0,,config/study.yaml,declared sensitivity range
sensitivity_om_fraction_min,0.005,,config/study.yaml,declared sensitivity range
sensitivity_om_fraction_max,0.025,,config/study.yaml,declared sensitivity range
sensitivity_construction_multiplier_min,0.5,,config/study.yaml,declared sensitivity range
sensitivity_construction_multiplier_max,2.0,,config/study.yaml,declared sensitivity range
sensitivity_conductor_multiplier_min,0.6,,config/study.yaml,declared sensitivity range
sensitivity_conductor_multiplier_max,1.5,,config/study.yaml,declared sensitivity range
sensitivity_conductor_area_cost_exponent_min,0.4,,config/study.yaml,declared sensitivity range
sensitivity_conductor_area_cost_exponent_max,1.1,,config/study.yaml,declared sensitivity range
sensitivity_transformer_multiplier_min,0.7,,config/study.yaml,declared sensitivity range
sensitivity_transformer_multiplier_max,1.5,,config/study.yaml,declared sensitivity range
sensitivity_load_factor_min,0.25,,config/study.yaml,declared sensitivity range
sensitivity_load_factor_max,0.5,,config/study.yaml,declared sensitivity range
sensitivity_demand_multiplier_min,0.7,,config/study.yaml,declared sensitivity range
sensitivity_demand_multiplier_max,1.3,,config/study.yaml,declared sensitivity range
