city,cluster,u,v,freq
sano,244,1706.0,4806.0,1.0
sano,252,1401.0,1412.0,1.0
sano,252,1412.0,6124.0,1.0
sano,253,1442.0,5224.0,1.0
sano,255,1733.0,4808.0,1.0
sano,258,4989.0,4992.0,1.0
sano,259,1723.0,4552.0,1.0
sano,261,1856.0,1857.0,1.0
sano,262,4817.0,4818.0,1.0
sano,264,5002.0,5007.0,1.0
sano,267,4860.0,4861.0,1.0
sano,267,4857.0,4861.0,0.4166666666666667
sano,267,4857.0,4860.0,0.5833333333333334
sano,268,3791.0,89.0,1.0
sano,268,5943.0,89.0,1.0
sano,268,5943.0,5944.0,1.0
sano,271,1902.0,4571.0,1.0
sano,271,4571.0,4572.0,1.0
sano,277,1440.0,1444.0,1.0
sano,277,1444.0,6010.0,1.0
sano,278,4879.0,4880.0,1.0
sano,278,4880.0,4885.0,1.0
sano,278,4881.0,4885.0,1.0
sano,280,4875.0,4877.0,1.0
sano,281,3788.0,3789.0,1.0
sano,282,4655.0,6219.0,1.0
sano,282,6219.0,6222.0,1.0
sano,282,4659.0,6222.0,1.0
sano,283,1613.0,6243.0,1.0
sano,284,1465.0,3787.0,1.0
sano,284,217.0,3787.0,1.0
sano,285,5205.0,5218.0,1.0
sano,287,1433.0,4708.0,1.0
sano,288,1565.0,1574.0,1.0
sano,288,1574.0,4679.0,1.0
sano,288,1585.0,4679.0,1.0
sano,290,1726.0,1740.0,1.0
sano,291,4553.0,4554.0,1.0
sano,293,1719.0,1737.0,1.0
sano,298,4566.0,4567.0,1.0
sano,299,3942.0,79.0,1.0
sano,299,79.0,80.0,1.0
sano,300,376.0,4352.0,1.0
sano,303,1653.0,1680.0,1.0
sano,303,1653.0,6240.0,1.0
sano,303,6239.0,6240.0,1.0
sano,305,3786.0,5696.0,1.0
sano,305,3595.0,3786.0,1.0
sano,307,4021.0,5694.0,1.0
sano,309,6038.0,6039.0,1.0
sano,309,6036.0,6039.0,1.0
sano,313,4988.0,4990.0,1.0
sano,315,1717.0,4810.0,1.0
sano,317,4997.0,5005.0,1.0
sano,319,1830.0,1835.0,1.0
sano,321,3742.0,5060.0,1.0
sano,327,1771.0,4832.0,1.0
sano,329,1451.0,1453.0,1.0
sano,335,6235.0,6236.0,1.0
sano,337,176.0,3941.0,1.0
sano,337,3941.0,78.0,1.0
sano,338,5012.0,5018.0,1.0
sano,339,3725.0,84.0,1.0
sano,341,4557.0,4558.0,1.0
sano,342,5021.0,6154.0,1.0
sano,343,5505.0,5506.0,1.0
sano,344,6142.0,6145.0,1.0
sano,345,4811.0,4814.0,1.0
sano,349,3597.0,4025.0,1.0
sano,349,3595.0,4025.0,1.0
sano,349,3595.0,3786.0,1.0
sano,349,3786.0,5696.0,1.0
sano,349,5696.0,5697.0,1.0
sano,350,1619.0,4539.0,1.0
sano,350,1607.0,4539.0,0.3333333333333333
sano,350,1616.0,1619.0,1.0
sano,350,4538.0,4539.0,0.6666666666666666
sano,350,1607.0,4538.0,0.6666666666666666
sano,353,3605.0,6191.0,1.0
sano,353,6190.0,6191.0,1.0
sano,353,1593.0,6190.0,1.0
sano,355,1664.0,6230.0,1.0
sano,357,5191.0,5197.0,1.0
sano,357,4406.0,5197.0,1.0
sano,357,1455.0,4406.0,1.0
sano,357,1455.0,5704.0,1.0
sano,357,5704.0,5706.0,1.0
sano,357,5192.0,5706.0,1.0
sano,357,5182.0,5192.0,1.0
sano,361,6233.0,6234.0,1.0
sano,362,1741.0,5501.0,1.0
sano,362,1741.0,4640.0,1.0
sano,364,5943.0,89.0,1.0
sano,365,4873.0,4874.0,1.0
sano,369,6141.0,6144.0,1.0
sano,371,1698.0,4427.0,1.0
sano,374,4820.0,4821.0,1.0
sano,375,1844.0,1851.0,1.0
sano,375,1851.0,1853.0,1.0
sano,375,1853.0,4559.0,1.0
sano,376,1480.0,1488.0,1.0
sano,376,1488.0,4638.0,1.0
sano,378,5203.0,5223.0,1.0
sano,380,1738.0,1744.0,1.0
sano,380,1738.0,5678.0,0.75
sano,380,5677.0,5678.0,0.8333333333333334
sano,380,1750.0,5677.0,0.4166666666666667
sano,380,1744.0,1750.0,0.4166666666666667
sano,382,5009.0,5014.0,1.0
sano,382,5011.0,5014.0,1.0
sano,383,4862.0,4865.0,1.0
sano,384,4546.0,4547.0,1.0
sano,384,4546.0,867.0,1.0
sano,384,4546.0,6109.0,1.0
sano,385,6245.0,6246.0,1.0
sano,386,6029.0,863.0,1.0
