city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,tld
yasu,31,2,113.56204334237945,68.13722600542766,12,12,16246104.20914272,16246104.20914272,8541903.340105446,52.72779839571263,0.016375428860032872,0.09718707530517075,16246104.20914272,0.09718707530517075,12,0.016375428860032872,16246104.209142722,0.016375428860032872,16246104.209142722,0,8541903.340105446,0.016375428860032872,52.72779839571263,0.09718707530517075,0.0,True,0.0,0.0
yasu,32,1,39.96779715015169,23.980678290091014,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,33,3,127.59020056106608,76.55412033663964,12,12,134513620.72995177,134513620.72995177,96216938.53540142,593.9317193543297,0.1256769263399749,0.6955246216262474,134513620.72995177,0.6955246216262474,12,0.1256769263399749,117093884.8417106,0.17350933486298845,117093884.8417106,100,83219090.21060106,0.17350933486298845,513.6980877197597,0.6955246216262474,0.0,True,17419735.888241205,0.5555555555555556
yasu,34,2,190.32954451415162,114.19772670849096,12,12,26814811.82344714,26814811.82344714,16341427.21239049,100.87300748389193,0.05301750858726876,0.24187417156228685,26814811.82344714,0.24187417156228685,12,0.05301750858726876,26814811.82344714,0.05301750858726877,26814811.82344714,0,16341427.212390492,0.05301750858726877,100.87300748389193,0.24187417156228685,0.0,True,0.0,1.0
yasu,35,3,304.39153274329124,182.63491964597478,12,12,30636489.462777916,30636489.462777916,18794042.911536045,116.01261056503738,0.34577210121035923,0.45915327228311126,30636489.462777916,0.45915327228311126,12,0.34577210121035923,30636489.46277792,0.34577210121035923,30636489.46277792,0,18794042.91153605,0.34577210121035923,116.01261056503735,0.45915327228311126,0.0,False,0.0,0.0
yasu,36,1,11.677878554720888,7.006727132832532,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
yasu,37,2,43.85887593323037,26.315325559938223,12,12,10563057.06119181,10563057.06119181,4335764.835005678,26.76398046299801,0.005905732314429851,0.04158192431902573,10563057.06119181,0.04158192431902573,12,0.005905732314429851,10563057.061191808,0.005905732314429851,10563057.061191808,0,4335764.835005678,0.005905732314429851,26.763980462998013,0.04158192431902573,0.0,True,0.0,0.0
yasu,38,2,62.05360955388832,37.232165732332994,12,12,10728482.092402523,10728482.092402523,4457364.432268561,27.514595260917037,0.006845047718492837,0.04539020632912211,10728482.092402523,0.04539020632912211,12,0.006845047718492837,10728482.092402525,0.0068450477184928355,10728482.092402525,0,4457364.432268561,0.0068450477184928355,27.514595260917044,0.04539020632912211,0.0,True,0.0,0.0
yasu,39,2,45.35069598376068,27.210417590256405,12,12,8067004.621975514,8067004.621975514,2487819.770747718,15.356912165109371,0.0017375626448411718,0.017084982500757413,8067004.621975514,0.017084982500757413,12,0.0017375626448411718,8067004.621975515,0.001737562644841172,8067004.621975515,0,2487819.770747718,0.001737562644841172,15.35691216510937,0.017084982500757413,0.0,True,0.0,0.0
yasu,40,2,23.619809169549548,14.17188550172973,12,12,9612064.167487342,9612064.167487342,3636046.692675531,22.44473267083661,0.00101374127286877,0.015776589854673975,9612064.167487342,0.015776589854673975,12,0.00101374127286877,9612064.167487344,0.0010137412728687702,9612064.167487344,0,3636046.692675531,0.0010137412728687702,22.44473267083661,0.015776589854673975,0.0,True,0.0,0.0
