city,cluster,terminals,raw_kw,coinc_kw,n_s1,n_s1_feas,s1_npc_mean,s1_npc_feas_mean,s1_capex_mean,s1_length_mean,s1_plkw_mean,s1_vdrop_max,s1cond_npc_mean,s1cond_vdrop_max,n_s1cond_feas,s1cond_plkw_mean,s2f_npc,s2f_plkw,s2_npc,s2_w,s2_capex,s2_plkw,s2_length,s2_vdrop,s2_upsize_m,s2_feasible,vof_mean,s1_famA_npc,s1_famB_npc,tld
yasu,21,2,189.82589825284325,113.89553895170593,12,12,16791208.04608825,16791208.04608825,8760964.319292543,54.08002666229962,0.15752969674033607,0.30527554799871104,16791208.04608825,0.30527554799871104,12,0.15752969674033607,16791208.04608825,0.15752969674033604,16791208.04608825,0,8760964.319292542,0.15752969674033604,54.08002666229964,0.30527554799871104,0.0,True,0.0,16791208.04608825,16791208.04608825,0.0
yasu,22,3,175.60382037257432,105.3622922235446,12,12,23252424.3526644,23252424.3526644,13428791.17390555,82.8937726784293,0.2562758070652494,0.33949592179822763,23252424.3526644,0.33949592179822763,12,0.2562758070652494,23252424.3526644,0.25627580706524944,23252424.3526644,0,13428791.173905548,0.25627580706524944,82.89377267842931,0.33949592179822763,0.0,True,0.0,23252424.3526644,23252424.3526644,0.0
yasu,23,4,155.51746048714386,93.31047629228634,12,12,22070832.747619487,22070832.747619487,12734448.728135208,78.60770819836547,0.11714442325844288,0.22214430960854017,22070832.747619487,0.22214430960854017,12,0.11714442325844288,22070832.74761949,0.11714442325844288,22070832.74761949,0,12734448.72813521,0.11714442325844288,78.60770819836549,0.22214430960854017,0.0,True,0.0,22070832.74761949,22070832.74761949,0.0
yasu,24,1,39.21422410206191,23.528534461237147,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,25,4,138.30048616971845,82.98029170183106,12,12,29689565.890245844,29689565.890245844,18379671.721381154,113.45476371222934,0.1262820221425905,0.22214571894347518,29689565.890245844,0.22214571894347518,12,0.1262820221425905,29689565.89024584,0.12628202214259052,29689565.89024584,0,18379671.72138115,0.12628202214259052,113.45476371222932,0.22214571894347518,0.0,True,0.0,29689565.890245844,29689565.890245844,0.0
yasu,26,1,108.67213851809515,65.20328311085709,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,27,3,66.77169195107903,40.06301517064742,12,12,17324159.843092952,17324159.843092952,9353991.391557904,57.740687602209285,0.0075700705931673355,0.04612851015363706,17324159.843092952,0.04612851015363706,12,0.0075700705931673355,17324159.843092956,0.0075700705931673355,17324159.843092956,0,9353991.391557904,0.0075700705931673355,57.740687602209285,0.04612851015363706,0.0,True,0.0,17324159.843092952,17324159.843092952,0.0
yasu,28,2,83.5652188741511,50.13913132449066,12,12,32914107.531384517,32914107.531384517,20818312.318382654,128.50810073075715,0.09262695366182193,0.36084965597196106,32914107.531384517,0.36084965597196106,12,0.09262695366182193,32914107.531384513,0.09262695366182193,32914107.531384513,0,20818312.318382654,0.09262695366182193,128.50810073075712,0.36084965597196106,0.0,True,0.0,32914107.531384517,32914107.531384517,0.0
yasu,29,3,117.1502961511584,70.29017769069505,12,12,20523542.171681877,20523542.171681877,11663532.391065234,71.99711352509404,0.057844523935235974,0.13263487189378603,20523542.171681877,0.13263487189378603,12,0.057844523935235974,20523542.171681877,0.05784452393523597,20523542.171681877,0,11663532.391065234,0.05784452393523597,71.99711352509404,0.13263487189378603,0.0,True,0.0,20523542.171681877,20523542.171681877,0.0
yasu,30,1,12.074998836878423,7.244999302127054,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,31,6,75.15994314671156,45.095965888026925,12,12,145458676.97515127,145458676.97515127,103696447.83061035,640.1015298185825,0.6179817185055994,1.7636899122356904,145458676.97515127,1.7636899122356904,12,0.6179817185055994,145397138.65345466,0.6178340977537808,145397138.65345466,0,103650947.13027267,0.6178340977537808,639.8206612979794,1.7609960363442774,0.0,True,61538.32169658691,145520215.29684782,145397138.65345466,0.0
yasu,32,2,49.97618416637546,29.985710499825277,12,12,5868565.349721714,5868565.349721714,857123.7123667175,5.2908871133748,0.00041361499192522715,0.004892769271378142,5868565.349721714,0.004892769271378142,12,0.00041361499192522715,5868565.349721714,0.0004136149919252271,5868565.349721714,0,857123.7123667176,0.0004136149919252271,5.2908871133748,0.004892769271378142,0.0,True,0.0,5868565.349721714,5868565.349721714,0.0
yasu,33,2,127.28869416773146,76.37321650063888,12,12,13177125.822023645,13177125.822023645,6260806.567319862,38.6469541192584,0.018082140660947554,0.08743290533831115,13177125.822023645,0.08743290533831115,12,0.018082140660947554,13177125.822023645,0.018082140660947557,13177125.822023645,0,6260806.567319862,0.018082140660947557,38.6469541192584,0.08743290533831115,0.0,True,0.0,13177125.822023645,13177125.822023645,0.0
yasu,34,5,77.72962429177248,46.63777457506349,12,12,37475727.120439954,37475727.120439954,24214387.456922293,149.47152751186601,0.08588327966641228,0.1869214125331922,37475727.120439954,0.1869214125331922,12,0.08588327966641228,36523985.19765423,0.0853694819569173,36523985.19765423,0,23508353.175234452,0.0853694819569173,145.11329120515092,0.1869214125331922,0.0,True,951741.9227857193,36523985.19765424,38427469.043225676,0.0
yasu,35,2,73.1516173360136,43.89097040160816,12,12,18963316.895138264,18963316.895138264,10557707.032699365,65.17103106604546,0.017778762707407688,0.1125823773564235,18963316.895138264,0.1125823773564235,12,0.017778762707407688,18963316.895138264,0.017778762707407688,18963316.895138264,0,10557707.032699367,0.017778762707407688,65.17103106604547,0.1125823773564235,0.0,True,0.0,18963316.895138264,18963316.895138264,0.0
yasu,36,1,36.58455670340713,21.950734022044276,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
yasu,37,5,119.47432616689659,71.68459570013795,12,12,144902300.7577254,144902300.7577254,103736355.93753974,640.3478761576529,0.27362034375863536,1.0163001950212698,144902300.7577254,1.0163001950212698,12,0.27362034375863536,144638120.86223322,0.2570871066299557,144638120.86223322,0,103561941.87804088,0.2570871066299557,639.2712461607463,0.5721253665654606,0.0,True,264179.89549219114,145166480.65321758,144638120.8622332,0.23076923076923073
yasu,38,1,52.12144881416587,31.27286928849952,1,1,4713525.528645839,4713525.528645839,0.0,0.0,0.0,0.0,4713525.528645839,0.0,1,0.0,4713525.528645839,0.0,4713525.528645839,0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,0.0
