model,phases,primary_kv,secondary_v,freq_hz,rating_kva,no_load_loss_w,load_loss_w,efficiency_pct,impedance_pct,regulation_pct,no_load_current_pct,provenance
HCR-AS-S25TA-60300,1,6.6,210-105,60.0,300,259,2041,99.24,4.2,0.76,0.12,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCR-AS-S25TA-60500,1,6.6,210-105,60.0,500,377,2975,99.33,5.3,0.74,0.1,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50020-YY,3,6.6,210,50.0,20,60,324,98.12,2.2,1.63,0.6,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50030-YY,3,6.6,210,50.0,30,80,441,98.29,2.7,1.49,0.71,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50050-YY,3,6.6,210,50.0,50,106,648,98.51,2.6,1.33,0.42,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50075-YD,3,6.6,210,50.0,75,163,727,98.83,2.3,0.99,0.26,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-50075-DY,3,6.6,420/242,50.0,75,183,756,98.76,2.0,1.02,0.3,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50100-YD,3,6.6,210,50.0,100,182,1022,98.81,2.8,1.05,0.22,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-50100-DY,3,6.6,420/242,50.0,100,198,1085,98.73,2.2,1.11,0.24,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50150-YD,3,6.6,210,50.0,150,241,1334,98.96,3.4,0.94,0.21,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-50150-DY,3,6.6,420/242,50.0,150,215,1771,98.69,3.7,1.24,0.22,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50200-YD,3,6.6,210,50.0,200,310,1552,99.08,2.9,0.82,0.19,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-50200-DY,3,6.6,420/242,50.0,200,285,2006,98.87,3.0,1.04,0.17,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50300-YD,3,6.6,210,50.0,300,410,2057,99.18,2.7,0.72,0.19,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-50300-DY,3,6.6,420/242,50.0,300,458,1977,99.19,2.1,0.68,0.19,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-ASAM-S25TA-50500-YD,3,6.6,210,50.0,500,156,5599,98.86,4.1,1.2,0.05,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-ASAM-S25TB-50500-DY,3,6.6,420/242,50.0,500,155,5724,98.84,3.9,1.21,0.05,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-50750-DD,3,6.6,210,50.0,750,1017,3997,99.34,4.4,0.62,0.17,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-50750-DY,3,6.6,420/242,50.0,750,801,5327,99.19,3.6,0.77,0.13,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-51000-DD,3,6.6,210,50.0,1000,883,6594,99.26,4.8,0.77,0.11,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-51000-DY,3,6.6,420/242,50.0,1000,1408,5354,99.33,4.1,0.62,0.18,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-51500-DD,3,6.6,210,50.0,1500,1517,7653,99.39,5.1,0.64,0.13,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-51500-DY,3,6.6,210,50.0,1500,1414,8095,99.37,4.3,0.63,0.12,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-52000-DD,3,6.6,210,50.0,2000,1817,10292,99.4,4.3,0.6,0.17,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-52000-DY,3,6.6,210,50.0,2000,1544,10859,99.38,4.0,0.62,0.12,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60020-YY,3,6.6,210,60.0,20,54,324,98.15,2.4,1.63,0.26,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60030-YY,3,6.6,210,60.0,30,68,441,98.33,3.1,1.51,0.24,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60050-YY,3,6.6,210,60.0,50,96,656,98.52,3.0,1.35,0.19,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60075-YD,3,6.6,210,60.0,75,146,741,98.83,2.7,1.02,0.27,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-60075-DY,3,6.6,440/254,60.0,75,165,758,98.78,2.3,1.03,0.31,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60100-YD,3,6.6,210,60.0,100,149,1073,98.79,3.4,1.12,0.21,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-60100-DY,3,6.6,440/254,60.0,100,195,955,98.86,2.3,0.98,0.27,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60150-YD,3,6.6,210,60.0,150,204,1358,98.97,4.0,0.99,0.19,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-60150-DY,3,6.6,440/254,60.0,150,200,1672,98.77,3.9,1.18,0.18,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60200-YD,3,6.6,210,60.0,200,252,1640,99.06,3.6,0.88,0.17,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-60200-DY,3,6.6,440/254,60.0,200,242,2042,98.87,3.5,1.08,0.17,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60300-YD,3,6.6,210,60.0,300,334,2193,99.16,3.3,0.78,0.16,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-60300-DY,3,6.6,440/254,60.0,300,441,1813,99.25,2.3,0.62,0.2,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-ASAM-S25TA-60500-YD,3,6.6,210,60.0,500,166,4799,99.02,3.9,1.03,0.04,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-ASAM-S25TB-60500-DY,3,6.6,440/254,60.0,500,178,4705,99.03,3.4,0.99,0.05,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-60750-DD,3,6.6,210,60.0,750,820,4053,99.35,5.2,0.67,0.15,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-60750-DY,3,6.6,440/254,60.0,750,907,4349,99.3,3.7,0.65,0.17,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-61000-DD,3,6.6,210,60.0,1000,954,5455,99.36,5.6,0.7,0.14,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TB-61000-DY,3,6.6,440/254,60.0,1000,1219,5188,99.36,4.2,0.61,0.15,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-61500-DD,3,6.6,210,60.0,1500,1269,8047,99.38,5.9,0.72,0.1,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-61500-DY,3,6.6,210,60.0,1500,1368,7500,99.41,5.2,0.63,0.11,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-62000-DD,3,6.6,210,60.0,2000,1482,10590,99.4,5.0,0.65,0.1,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
HCTR-AS-S25TA-62000-DY,3,6.6,210,60.0,2000,1218,11379,99.37,5.3,0.71,0.09,toshiba_2026_transformer_catalog.pdf (JIS C 4304:2024)
